,pathogen-count,pathogen-aggr--log10p:flu,pathogen-aggr--log10p:hrv,pathogen-aggr--log10p:rsv,pathogen-aggr--log10p:piv3,pathogen-aggr--log10p:hucovNL63,pathogen-aggr--log10p:hucovOC43,pathogen-aggr--log10p:hucov229E,pathogen-aggr--log10p:sars2,pathogen-aggr--log10p:mers
ATP6V0B,6.0,5.895757600415911,6.610550387319927,6.6104264018637,0.9210721663192805,3.5464064900794794,3.1565367393728545,4.437362216658228,2.110558225090636,1.837143310444254
ATP6V0C,7.0,8.506553235046232,6.610550387319927,6.6104264018637,0.47388051054311303,6.610479534153622,3.1605219526258015,6.1334291326002655,3.321144877419425,3.024548252945748
ATP6V1C1,5.0,3.433987467930572,6.610550387319927,6.6104264018637,0.798903434960533,6.610479534153622,1.5608726575571537,6.610550387319927,0.6252516539898961,0.7409058882454954
ATP6V1D,5.0,11.335842508230732,5.248821010893191,6.6104264018637,0.688458041598805,5.569102950972742,2.077949597832826,3.1435369622813605,2.9500458519779538,1.4371564889437722
COG3,5.0,7.326845527632194,1.3501882635244895,6.6104264018637,6.610550387319927,0.18031132375294104,4.274153680056665,6.610550387319927,1.3864330012287154,1.4315431286838105
COG4,5.0,3.7826951685249433,0.2983456826742518,6.6104264018637,6.610550387319927,0.894251444473007,5.765508025761012,2.1276339175191246,3.962055844796901,1.3606465612688239
COG6,3.0,3.5760149400897157,1.4411235027448634,6.6104264018637,5.119192122157881,0.524677549233311,1.071757816842691,1.4409076923250992,0.6728045954967665,0.8232953153584319
VPS52,6.0,4.042792430098202,0.4945108615832761,6.6104264018637,5.434459128264247,3.7969126935275526,2.8956836354882722,3.924818145381309,0.4146295228779221,8.997686683232612
ATP6V1A,6.0,7.720457910268451,6.610550387319927,6.133299243957501,0.5743516780739658,4.320454005884414,2.763236077812193,3.2547143612092304,4.92708868414592,1.4748966863996649
COG8,4.0,5.415294933055601,0.19118157490787582,6.133299243957501,5.0664823429696515,0.17374373901179782,1.05034169201826,2.6008803139720666,1.7309776652707662,3.8870676322651527
SOCS3,4.0,3.146354067218769,6.1334291326002655,6.133299243957501,0.4762925434268171,0.5952346815976854,0.24619487196693343,1.442637185910346,4.732265227678144,0.39290637845125215
ATP6AP1,5.0,9.336891016488119,6.610550387319927,5.765330891811094,2.057262944438904,4.243128174142129,1.1825866931785347,5.434459128264247,2.08462127317345,1.6323013589297202
ATP6V1E1,5.0,8.028747853547303,6.610550387319927,5.434329239621482,1.2803207538164165,5.042287384163365,0.45448259239850763,3.6388200981863994,1.3617803888294124,1.9775982369819773
COG2,4.0,5.157608358825769,0.5310474427344659,5.434329239621482,5.656315751168226,0.4860370126280047,1.1304632075379888,3.4716232911545926,2.749287313540815,2.2191440010021277
AP2M1,5.0,4.193925467249343,0.4752404949711419,5.042220370058076,0.3277450852283312,6.610479534153622,0.6020252491590783,6.610550387319927,0.10632144408885832,11.723700878731997
TGFBR1,2.0,5.056766821624492,0.1581589425504197,4.759176284482335,0.4612001300350003,1.1992829217176149,0.4924409526532882,1.0132775184161862,1.089066257147477,1.1079208357666932
ATP6V1F,4.0,5.317281562019779,6.610550387319927,4.480093289283262,0.44977164694490596,2.717672500761474,1.2114569109607127,5.119192122157881,0.9387360576997501,1.095525967458204
UNC50,3.0,4.130711502433454,1.1723593776827999,4.250588367481359,4.724067024178292,2.716902394562775,0.6641611304200458,0.26410581659408366,0.27695500835655495,0.8633601023606465
ATP6V1G1,4.0,5.985881548143307,2.8107343310654516,3.9944763073267207,1.280635562031035,4.614858652395342,1.0977740321946063,3.5449723176432193,1.1947642851219487,1.8601972444751684
WDR7,5.0,13.056457265092094,6.610550387319927,3.9355794515664067,0.45930772174925677,4.614858652395342,2.0882619437608154,5.434459128264247,2.118176134708683,1.0506923585230632
ATP6AP2,5.0,7.476658307963914,6.1334291326002655,3.701408888702431,0.1030716401088389,3.360802472437482,1.5830102008208278,6.1334291326002655,1.590337338755543,0.8596224404475968
RPTOR,4.0,3.776042886679909,2.064588470888609,3.600551270185769,0.814004806135286,5.569102950972742,4.003160104264079,1.244727478744693,1.119861231058057,2.4456085962181744
ATP6V1H,3.0,9.838174083714097,2.8471920365809362,3.457834604639921,0.4832663633836135,4.420159263131557,1.4552500285520917,1.9100242773122713,1.5953372991262778,1.5519262840096009
ELOF1,3.0,4.167001443632199,0.347908446303636,3.415352217970375,0.6910302918217505,3.964090201543391,0.14498387531984186,0.9936623396254491,0.15534268222146747,0.6627336789996882
EMC7,4.0,5.090791909125734,6.610550387319927,3.223923836208221,0.7984390218832629,0.6230217796919838,0.9474214749553421,0.6222203637120186,0.483041774996101,3.6861155414335256
EMC6,4.0,5.249065532472387,0.21785716349450135,3.1818005080688945,0.8604042415300279,4.493210942605015,2.7479483625934837,3.269516505447269,0.44338395531746144,0.822480183370329
MPDU1,2.0,4.228619945388093,1.2281627430341713,3.1351864420794167,2.170573998516554,1.559389991727655,0.08185428628864796,1.0307285658485434,0.7971304122847893,1.4873061522540907
EMC3,1.0,3.437564772860893,0.5303399545368926,3.039529222465701,0.5392975585745469,0.5105055780578478,1.8347853600896706,1.5994447427810936,0.6830656264404654,1.169850035503963
TRAPPC1,1.0,5.030374068342949,0.1898145443283591,2.8821654814562527,1.5518349534443088,0.9046214004399361,2.345448066421139,2.0633304622172157,0.7751821626049598,2.291230726058067
PABPC4L,1.0,3.1541685626088722,0.3361577870262061,2.7025240066757883,0.7976751871704516,0.4955699182447916,0.810172936879338,0.18508681872492605,0.2426723096312434,0.3376860942425908
RPS10,2.0,3.7413282657573683,2.0824209764430623,2.5596104937541027,0.38854223433165763,0.15126912298133482,1.8618868535128332,1.719285080508993,1.3412637935513765,5.067781111662153
DCAF7,2.0,5.745828824427619,0.5664861793354568,2.5301927061182097,0.43442370023617244,1.9927644624540481,0.7027648981576945,3.6705410999402774,0.4676661094849882,1.260371150818761
ATP6V0D1,3.0,7.039343669393298,3.4518932416697443,2.4468089988710284,0.45875783945071574,1.3399127767011296,0.25107584764193486,1.3891695587342852,1.2585962525196626,3.5991037998342996
CCDC115,4.0,10.501072550261899,6.610550387319927,2.4336685899684656,0.6148049816801199,5.496549806557988,3.0394911698518237,5.0664823429696515,0.11339084702641976,0.6872608867384545
GTF3A,2.0,3.779530548513822,3.1758220799138153,2.214485095304078,2.095939364613187,2.315298230514906,2.0315544117180915,1.0586774321139107,0.13572630319562073,0.41115421634942
PIGB,1.0,4.3619153990675485,0.8371370066780739,2.1052299381217834,0.29455539597232194,0.9501619993774166,0.3289012436859669,3.047662909091796,1.412300257205715,1.3576488861174585
DPM1,2.0,7.451569067183844,1.350713831739381,2.0870556063289123,0.8865580460346785,0.42183086158768796,0.9891066868956195,2.0088271064797745,0.2766264329810155,3.3347039653994925
EMC2,1.0,3.958939387223476,0.29560065050711254,2.0804930574124665,1.0901819755448359,2.0421820809258584,1.3964118124894838,1.2755357038645823,1.3544598386494866,0.8823832629195673
ALG3,1.0,11.100133135765166,0.15963039636539827,2.0710309297146896,0.7109018009433836,0.639520191828058,0.5775743236287955,0.4587828190021952,0.804183341727128,1.100427696213154
WDR11,1.0,5.741236927166633,0.541452795803407,2.007486246453512,0.36680432660544593,0.3395614403131949,0.36032429518694115,0.8931634126332052,0.9660939629733122,0.9503716808587332
AFP,1.0,3.311954988668294,0.8028573350274373,1.9475369225166712,0.6706834949097412,0.4246504797773975,0.3895527785578788,1.5173264664966704,0.36114150015329644,1.8006224836249178
