,pathogen-count,pathogen-aggr--log10p:flu,pathogen-aggr--log10p:hrv,pathogen-aggr--log10p:rsv,pathogen-aggr--log10p:piv3,pathogen-aggr--log10p:hucovNL63,pathogen-aggr--log10p:hucovOC43,pathogen-aggr--log10p:hucov229E,pathogen-aggr--log10p:sars2,pathogen-aggr--log10p:mers,mashup:0,mashup:1,mashup:2,mashup:3,mashup:4,mashup:5,mashup:6,mashup:7,mashup:8,mashup:9
ATP6V0B,6.0,5.895757600415911,6.610550387319927,6.6104264018637,0.9210721663192805,3.5464064900794794,3.1565367393728545,4.437362216658228,2.110558225090636,1.837143310444254,-3.0743330391591113,0.009461991176005508,-0.12103749521464979,-0.12659485947778099,-0.1034000878167133,-0.03878067134734069,-0.0878707286730096,-0.09336273318976562,-0.026340974088508193,-0.09503939108077326
ATP6V0C,7.0,8.506553235046232,6.610550387319927,6.6104264018637,0.47388051054311303,6.610479534153622,3.1605219526258015,6.1334291326002655,3.321144877419425,3.024548252945748,-3.0683208440508425,0.018765528763379197,-0.08126759345451429,-0.11612903333250346,-0.12888689307372508,0.003868348555084926,-0.08143246845154352,-0.12010552937758574,0.001184151443502047,-0.0842097193179757
ATP6V1C1,5.0,3.433987467930572,6.610550387319927,6.6104264018637,0.798903434960533,6.610479534153622,1.5608726575571537,6.610550387319927,0.6252516539898961,0.7409058882454954,-3.0759880432803617,0.020908206394216897,-0.09741076558089835,-0.11714104414392074,-0.07974569882696812,-0.0026035485251310235,-0.09142179385063365,-0.09412572781904778,-0.00687917017315552,-0.06566990454427926
ATP6V1D,5.0,11.335842508230732,5.248821010893191,6.6104264018637,0.688458041598805,5.569102950972742,2.077949597832826,3.1435369622813605,2.9500458519779538,1.4371564889437722,-3.0749501318653225,0.007185660597849755,-0.10865804258968938,-0.12086116511332684,-0.10884265057177264,-0.01484110107537714,-0.10003285879809243,-0.10790559426228884,0.008166236912414783,-0.10393326034008625
COG3,5.0,7.326845527632194,1.3501882635244895,6.6104264018637,6.610550387319927,0.18031132375294104,4.274153680056665,6.610550387319927,1.3864330012287154,1.4315431286838105,-3.0358512742474524,0.15766281698143267,-0.4860678073705477,-0.9184130458795393,-0.7232049782522556,-0.28289413074563435,-0.9047835673076752,-0.17445335747853793,-0.3331925260233947,0.48482626568338194
COG4,5.0,3.7826951685249433,0.2983456826742518,6.6104264018637,6.610550387319927,0.894251444473007,5.765508025761012,2.1276339175191246,3.962055844796901,1.3606465612688239,-3.043491277129532,0.13112526579921585,-0.45694116756142195,-0.8483585537489626,-0.6789858379990269,-0.25764691760100433,-0.8626060010473041,-0.17564711311544504,-0.29784582820376476,0.3882205615684925
COG6,3.0,3.5760149400897157,1.4411235027448634,6.6104264018637,5.119192122157881,0.524677549233311,1.071757816842691,1.4409076923250992,0.6728045954967665,0.8232953153584319,-3.029270683421456,0.0733789393924653,-0.47010996197707383,-0.8726812587016248,-0.6814567540903842,-0.23082629450719416,-0.8795068962000311,-0.21367207580014067,-0.2750624227807395,0.4590879980468401
VPS52,6.0,4.042792430098202,0.4945108615832761,6.6104264018637,5.434459128264247,3.7969126935275526,2.8956836354882722,3.924818145381309,0.4146295228779221,8.997686683232612,-3.0689685144192613,0.12775273001536508,-0.3084135774668574,-0.4684635242293828,-0.2696828323758395,-0.18752182014199403,-0.34215061515894396,-0.007114326853749458,-0.25015326851216896,0.5083484393340683
ATP6V1A,6.0,7.720457910268451,6.610550387319927,6.133299243957501,0.5743516780739658,4.320454005884414,2.763236077812193,3.2547143612092304,4.92708868414592,1.4748966863996649,-3.0713307246579906,-0.009554263315404548,-0.13766051649702868,-0.11366631256073176,-0.08048821351389708,-0.06475039803795825,-0.0683400187379565,-0.10052271681946279,-0.017254383517520767,-0.10440660464454295
COG8,4.0,5.415294933055601,0.19118157490787582,6.133299243957501,5.0664823429696515,0.17374373901179782,1.05034169201826,2.6008803139720666,1.7309776652707662,3.8870676322651527,-3.041348184686653,0.12018386299159636,-0.4570813775515222,-0.8505725514711273,-0.6922281178268802,-0.24578767594147274,-0.8372602481590373,-0.17891699225306304,-0.2910393987081728,0.3836938877540171
SOCS3,4.0,3.146354067218769,6.1334291326002655,6.133299243957501,0.4762925434268171,0.5952346815976854,0.24619487196693343,1.442637185910346,4.732265227678144,0.39290637845125215,-2.9878409917817694,0.12025685724051709,0.8708058968564288,-0.12401043560974945,0.13276424821226715,0.3363380522662966,0.38794133083074395,-0.22219322369624706,-0.8731535856850835,-0.8115593828415206
