,pathogen-count,mashup:0,mashup:1,mashup:2,mashup:3,mashup:4,mashup:5,mashup:6,mashup:7,mashup:8,mashup:9
ATP6V0B,6.0,-3.0743330391591113,0.009461991176005508,-0.12103749521464979,-0.12659485947778099,-0.1034000878167133,-0.03878067134734069,-0.0878707286730096,-0.09336273318976562,-0.026340974088508193,-0.09503939108077326
ATP6V0C,7.0,-3.0683208440508425,0.018765528763379197,-0.08126759345451429,-0.11612903333250346,-0.12888689307372508,0.003868348555084926,-0.08143246845154352,-0.12010552937758574,0.001184151443502047,-0.0842097193179757
ATP6V1C1,5.0,-3.0759880432803617,0.020908206394216897,-0.09741076558089835,-0.11714104414392074,-0.07974569882696812,-0.0026035485251310235,-0.09142179385063365,-0.09412572781904778,-0.00687917017315552,-0.06566990454427926
ATP6V1D,5.0,-3.0749501318653225,0.007185660597849755,-0.10865804258968938,-0.12086116511332684,-0.10884265057177264,-0.01484110107537714,-0.10003285879809243,-0.10790559426228884,0.008166236912414783,-0.10393326034008625
COG3,5.0,-3.0358512742474524,0.15766281698143267,-0.4860678073705477,-0.9184130458795393,-0.7232049782522556,-0.28289413074563435,-0.9047835673076752,-0.17445335747853793,-0.3331925260233947,0.48482626568338194
COG4,5.0,-3.043491277129532,0.13112526579921585,-0.45694116756142195,-0.8483585537489626,-0.6789858379990269,-0.25764691760100433,-0.8626060010473041,-0.17564711311544504,-0.29784582820376476,0.3882205615684925
COG6,3.0,-3.029270683421456,0.0733789393924653,-0.47010996197707383,-0.8726812587016248,-0.6814567540903842,-0.23082629450719416,-0.8795068962000311,-0.21367207580014067,-0.2750624227807395,0.4590879980468401
VPS52,6.0,-3.0689685144192613,0.12775273001536508,-0.3084135774668574,-0.4684635242293828,-0.2696828323758395,-0.18752182014199403,-0.34215061515894396,-0.007114326853749458,-0.25015326851216896,0.5083484393340683
ATP6V1A,6.0,-3.0713307246579906,-0.009554263315404548,-0.13766051649702868,-0.11366631256073176,-0.08048821351389708,-0.06475039803795825,-0.0683400187379565,-0.10052271681946279,-0.017254383517520767,-0.10440660464454295
COG8,4.0,-3.041348184686653,0.12018386299159636,-0.4570813775515222,-0.8505725514711273,-0.6922281178268802,-0.24578767594147274,-0.8372602481590373,-0.17891699225306304,-0.2910393987081728,0.3836938877540171
SOCS3,4.0,-2.9878409917817694,0.12025685724051709,0.8708058968564288,-0.12401043560974945,0.13276424821226715,0.3363380522662966,0.38794133083074395,-0.22219322369624706,-0.8731535856850835,-0.8115593828415206
ATP6AP1,5.0,-3.08522698175175,0.06468615607120748,-0.09125673573739053,-0.08850104884878095,-0.03201435941853602,-0.04976387247299941,-0.049473718019332084,-0.04079363078478056,-0.027410951671212054,-0.05168880121856227
ATP6V1E1,5.0,-3.076533805171797,-0.01301600995708882,-0.103864911451836,-0.09666365913242717,-0.053885824751664084,0.006184839787162053,-0.09402537281448566,-0.0869739496261926,-0.009126187501129302,-0.10045175139391065
COG2,4.0,-3.0447750070213253,0.12746227002244503,-0.4500665975920558,-0.8334813994199741,-0.6690612018434564,-0.250824414969078,-0.8523862219582267,-0.17595140983947885,-0.2902024927879763,0.36981271057259457
AP2M1,5.0,-2.944417164075594,0.8635016613528308,0.15219516813696055,-0.5530683137973175,-0.22728330661514656,0.607984479614754,-0.3501897415349017,0.06838085205080051,-0.34987722575909563,0.9821567814464902
TGFBR1,2.0,-2.921053217768828,0.20212043295800833,0.6718143689301894,-0.26237306513254083,-0.29222913600341055,0.28158569145012985,0.10989023319414905,-0.20042987803166937,0.9854177753099131,-0.08346377966071808
ATP6V1F,4.0,-3.076166323597902,0.014603475253311807,-0.08873450771186592,-0.11123496166127796,-0.06608721904198762,-0.01998210465887309,-0.0802178945468062,-0.08669872937187478,0.04384796496446973,-0.10416945769916522
UNC50,3.0,-3.1018251812197795,0.006037904711815404,-0.10293534832190031,-0.07624104599975608,-0.015869145396035202,-0.10706753081523972,0.009275890745423114,0.03711714578102889,-0.04064683969278314,0.07264358431356326
ATP6V1G1,4.0,-3.07836126722512,0.004863454330611597,-0.09623466427225544,-0.09867874832894723,-0.07484996135418542,-0.014062125942884396,-0.07737718763910847,-0.0956328406197922,-0.008060074827991683,-0.0867319601872598
ATP6AP2,5.0,-3.0958401391372723,0.06167630061079329,-0.07181491270895733,0.052509028724102014,-0.010540077977769893,-0.04569862168439461,0.02617829391486585,0.0121753662088115,0.03792775254554469,0.02976178971847485
RPTOR,4.0,-3.008707518980814,-0.07887281886647014,0.05778610625748268,-0.029363955912869957,-0.32351114179942414,0.22100457685370886,-0.16333529597498403,-0.41305758771359213,0.12449533000881137,-0.05268772309366687
ATP6V1H,3.0,-3.0681183147388733,0.0764811643600749,-0.0857203376086471,-0.18861715776403523,-0.10117420875756049,0.03751090517144433,-0.13032130531873617,-0.08277523311816753,-0.0905523464201366,0.03601728936119073
ELOF1,3.0,-3.106171554617607,-0.020464004762474553,-0.07504564758081289,-0.013802917813934081,0.028360223624804323,-0.07005910343166008,0.034545949715662924,0.06324578325757128,-0.018302093187580873,0.0021778372584503624
EMC6,4.0,-3.102188354628914,0.0015779344675124801,-0.08970919711448312,-0.04200730709402137,-0.00671007757280006,-0.10443935520650495,0.054467650098369645,0.039423248108496164,-0.03063959238283794,-0.019413316703312936
MPDU1,2.0,-3.105872983210522,-0.007462319823297846,-0.09415548293413481,-0.031583481866147185,0.030193314438086503,-0.09119634691988439,0.062142372657016026,0.024243190988025524,-0.020341022175212765,0.016977109703982144
EMC3,1.0,-3.1060664774596707,5.455826863950764E-5,-0.08619329721877281,-0.02600961114823224,0.027288617168570464,-0.10945860910117224,0.05094033858504503,0.056303901623122966,-0.016292856116380396,-0.015895737978951524
TRAPPC1,1.0,-3.0659784731896984,0.13392375721414512,-0.2772599326483859,-0.5375440941092354,-0.2941350855048374,-0.22272242654065674,-0.44358057065342427,-0.04865348960739507,-0.18511801134601805,0.339618283723901
RPS10,2.0,-3.035746024180381,-0.5213376070858556,-0.7958823680035985,-0.24917479832102815,0.6836709717771232,0.44890540631177334,0.7809868223442056,-1.5298460528339652,0.30960735207945334,0.5220311263880922
DCAF7,2.0,-3.0757173443756955,-0.19528083163028592,-0.08566352020767974,-0.07198174108714817,-0.3057468757311371,0.13255766817902853,0.312088606372665,0.28929779828071767,-0.07643435354695509,-0.06465863425411579
ATP6V0D1,3.0,-3.046136934358459,-0.04152900218701866,-0.07923849952080296,-0.1366689882037551,-0.1680378588746539,-0.037677675215482466,-0.15818884588423715,-0.10741649543871941,-0.016699884865673323,0.14123356434789436
GTF3A,2.0,-3.0514561979434918,-0.3631628941213239,0.28536139714768133,0.256112993192623,0.17929510801894324,-0.028444944889114056,-0.2609046362983347,0.14383173640184166,0.014246837771983241,0.13590488285184843
DPM1,2.0,-3.1054991356291857,-0.01871510335387129,-0.10358937730070622,-0.023089012192854627,0.05444533289271653,-0.08207371625020353,0.028519687956505994,0.06839886231078258,-0.023930219316842045,-0.03234737009804929
EMC2,1.0,-3.104094529706243,0.0014747389975403758,-0.08941855530047157,-0.033177121348780106,0.027155426313910765,-0.12816301910962866,0.06477842319346092,0.06726291292031733,-0.0058946163145891005,-0.021860642017776436
ALG3,1.0,-3.1023717576307637,-0.023628213945416095,-0.11950848549099702,-0.051477796371293294,0.035709932274827806,-0.08194081389297506,0.10089873996166769,-0.020806642866044663,-0.0210677495448212,0.06657336363424872
AFP,1.0,-3.0888808560289003,-0.009141088128870678,0.04527888907678048,0.01277580791336725,0.04222114580400678,-0.15646668372490702,0.0019494191111162605,0.014775156003068793,0.11264801890286562,0.025273907910217556
MSI2,1.0,-3.0982553439465557,-0.059503820417109485,-0.13630292487121515,-0.0480472319689558,0.0756852771937079,-0.07152870541408612,0.09317425649006236,-0.08060986485287867,0.006701873739094615,0.04316546495567988
AP3M1,1.0,-3.101887788539779,0.007562977341513676,-0.09598849712259633,-0.07266183039404545,-0.020807377243634233,-0.09928577798441082,0.007006807360844817,0.0563011714060442,-0.05046166120553979,0.04629243130283497
TIPRL,1.0,-3.096035718880934,-0.01830524182697592,-0.08947100017267266,-0.03827340784311071,-0.04005829516066039,-0.030740120206315235,0.044423191939115,-0.04441685773702282,0.009468088799685968,0.030531537552242395
KCTD5,3.0,-3.0951635123906214,-0.08035572402572003,-0.026754545289883476,-0.01225991027939333,-0.02444698085912472,-0.021570871976089947,0.06443411304839185,0.0770044747604558,0.009138492666029587,-0.01133757048329783
HNF1B,2.0,-3.075876075450291,-0.17518837755556663,0.21839207633682098,0.16425931680743078,0.012990577075206563,-0.1593772912098689,-0.1026219869698193,-0.03957966554667283,0.008895295068905953,0.14207640990849815
MRPL20,1.0,-3.095157433707273,-0.01925750057530216,-0.22120368295608303,-0.051086166968538356,0.10216534545468008,-0.33607935770659353,0.18713433202492658,0.1460338527111871,-0.11205422318975077,-0.0879881606701353
UPF3B,3.0,-2.9947487317348465,-1.2024173993970615,-0.9804193493030826,-0.15637696743292007,1.1225637988064268,1.1887812382730634,-0.20049128812734154,-0.6722877290878456,0.20936565095419996,-0.13608456997816298
SBDS,4.0,-3.1042986255721177,-0.029183253336587264,-0.12468604355703078,-0.032750868673410594,0.07798076482814824,-0.07597642685170954,0.09422140099060167,-0.05254214372261697,-0.00217341319544858,0.03142402672003331
MRPL17,1.0,-3.095157433707273,-0.019257500575292557,-0.22120368295612886,-0.051086166968549424,0.10216534545471806,-0.3360793577066406,0.18713433202494176,0.14603385271118172,-0.11205422318966386,-0.08798816067010164
CTBP2,1.0,-2.9173071356750344,-0.815392489360612,1.3662438484197388,0.8700151620184692,-0.128071321843207,-0.6032715567980041,-0.5418945795105847,-0.37102575339343574,0.2840624580662497,0.7505262274357043
TKT,3.0,-3.106168704742365,-0.0019213443995362428,-0.06551888413189698,-0.015801590420789893,0.026988863290902974,-0.09565066908905441,0.034420110532242976,0.04017920187147428,-0.011987100346120437,-0.00934746379076906
GIT1,1.0,-3.056197126726471,0.3628506144133364,0.15188406532027668,-0.31710690431435784,0.13275945916574947,0.14391970814260183,-0.0703235568274916,0.11716383937747972,0.34654696331135276,0.02642141054028454
STAG2,1.0,-2.987370092524995,-0.7253009694151202,-0.11886781548451492,-0.2555408427706338,-0.7178793159835052,0.356407006882597,-0.8186494105705914,-0.20551702055619026,0.08436891596231912,0.027405278676394283
CFL1,1.0,-3.0493554601207524,0.07417772720495434,0.16280391903111396,-0.2397569547364595,0.03356191374531068,0.11424881463842532,-0.05320395238313841,0.09896242466184149,0.33967564902671343,0.024834467162817665
SGMS1,1.0,-3.0883692493330583,0.14225352880339645,0.1290211835014549,-0.13598849474703487,0.1464505245005316,0.0559837295263441,0.04588294561297257,-0.025942348990938273,-0.22674249115310213,-0.11513564842628035
ANP32B,1.0,-3.087545848090423,-0.0938286070675907,0.032087321358099996,0.02604789191082003,-0.014949332234624017,-0.062792141847874,0.02579120521138804,-0.02314654120088983,-0.01875945169580094,-0.07031534117500393
C1QBP,1.0,-3.0175187223895015,-0.2340868117011661,0.16455820262686682,-0.04071711631904703,0.03951902530465804,0.23684476210552893,-0.03611098354846332,-0.17579385145901164,0.12171698897170112,-0.09616069051413348
MON2,1.0,-3.102847619313179,0.019555370284063126,-0.10260854132062337,-0.06736233124916911,-0.0052268512362857915,-0.10194262897263016,0.018530983560688646,0.05945326104833268,-0.016017464640632473,0.014511532396493684
NDUFS2,1.0,-3.0725929385858466,0.14496971468547143,-0.30331027855222303,0.22756136762249518,-0.15522895286840516,-0.13813985244133717,0.1536509079860266,0.09808494336949576,-0.06938945492706608,-0.30361721736763525
MRPL55,1.0,-3.0951574337072723,-0.019257500575272788,-0.2212036829561894,-0.05108616696844493,0.10216534545471877,-0.3360793577066127,0.18713433202494456,0.14603385271116137,-0.11205422318966543,-0.0879881606700802
