id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
ICAM1	4	1	1	1	20193	0	2.023	9.3222e-16	2.4516e-07	0.000108	1	4	2.023
SETD3	4	1	1	1	20192	0	1.5906	1.6051e-14	2.4516e-07	0.000108	2	4	1.5906
PDCL	4	1	1	1	20191	0	1.3146	3.1312e-14	2.4516e-07	0.000108	3	4	1.3146
ITPK1	4	1	1	1	20190	0	1.5158	3.9761e-14	2.4516e-07	0.000108	4	4	1.5158
CCDC115	4	1	1	1	20189	0	1.3606	7.7541e-13	2.4516e-07	0.000108	5	4	1.3606
IPMK	4	1	1	1	20188	0	1.5812	8.6458e-13	2.4516e-07	0.000108	6	4	1.5812
ATP6V0B	4	1	1	1	20187	0	1.3728	3.8896e-12	2.4516e-07	0.000108	7	4	1.3728
ATP6V0C	4	1	1	1	20186	0	1.461	1.402e-11	2.4516e-07	0.000108	8	4	1.461
ATP6AP1	4	1	1	1	20185	0	1.6306	3.3232e-11	2.4516e-07	0.000108	9	4	1.6306
PLCB3	4	1	1	1	20184	0	1.2612	4.9086e-11	2.4516e-07	0.000108	10	4	1.2612
PI4KB	4	1	1	1	20183	0	1.1519	9.5466e-11	2.4516e-07	0.000108	11	4	1.1519
WDR7	4	0.37618	0.5197	1	10135	1	1.6801	1.2752e-10	2.4516e-07	0.000108	12	3	1.6801
DDX54	4	1	1	1	20182	0	0.98146	2.3813e-10	2.4516e-07	0.000108	13	4	0.98146
TAF1C	4	1	1	1	20181	0	0.89106	2.4447e-10	2.4516e-07	0.000108	14	4	0.89106
RPP14	4	1	1	1	20180	0	0.74223	1.6246e-09	2.4516e-07	0.000108	15	4	0.74223
STING1	4	1	1	1	20179	0	0.62363	1.7612e-09	2.4516e-07	0.000108	16	4	0.62363
TAF1B	4	1	1	1	20178	0	1.0547	2.3079e-09	2.4516e-07	0.000108	17	4	1.0547
NOP10	4	1	1	1	20177	0	0.91042	2.6342e-09	2.4516e-07	0.000108	18	4	0.91042
ATP6V1A	4	1	1	1	20176	0	0.96064	3.1434e-09	2.4516e-07	0.000108	19	4	0.96064
TMEM199	4	1	1	1	20175	0	1.2184	3.5532e-09	2.4516e-07	0.000108	20	4	1.2184
ZPR1	4	1	1	1	20174	0	0.8217	3.5771e-09	2.4516e-07	0.000108	21	4	0.8217
ATP6V1C1	4	1	1	1	20173	0	1.0992	3.6011e-09	2.4516e-07	0.000108	22	4	1.0992
CDIPT	4	1	1	1	20165	0	1.3223	3.7301e-09	2.4516e-07	0.000108	23	4	1.3223
RPP21	4	1	1	1	20172	0	0.6396	5.0875e-09	2.4516e-07	0.000108	24	4	0.6396
SNX14	4	1	1	1	20171	0	0.71957	7.5215e-09	2.4516e-07	0.000108	25	4	0.71957
ARPC4	4	1	1	1	20170	0	0.64089	8.2132e-09	2.4516e-07	0.000108	26	4	0.64089
ARPC2	4	1	1	1	20169	0	0.43861	8.5764e-09	2.4516e-07	0.000108	27	4	0.43861
RPP30	4	1	1	1	20168	0	1.0341	9.6374e-09	2.4516e-07	0.000108	28	4	1.0341
PCBP2	4	1	1	1	20167	0	0.9306	1.1071e-08	2.4516e-07	0.000108	29	4	0.9306
ATP6V1E1	4	1	1	1	20166	0	1.3038	1.3096e-08	2.4516e-07	0.000108	30	4	1.3038
DHPS	4	1	1	1	20164	0	0.91644	1.4754e-08	2.4516e-07	0.000108	31	4	0.91644
ACTR2	4	1	1	1	20163	0	0.49284	1.8129e-08	2.4516e-07	0.000108	32	4	0.49284
WDR55	4	1	1	1	20162	0	1.0198	2.0591e-08	2.4516e-07	0.000108	33	4	1.0198
PELP1	4	1	1	1	20161	0	1.1017	2.6473e-08	2.4516e-07	0.000108	34	4	1.1017
TRMT5	4	1	1	1	20160	0	0.49006	2.6906e-08	2.4516e-07	0.000108	35	4	0.49006
DHX33	4	1	1	1	20159	0	0.77327	4.5357e-08	2.4516e-07	0.000108	36	4	0.77327
BUD23	4	1	1	1	20158	0	0.71603	4.8493e-08	2.4516e-07	0.000108	37	4	0.71603
RIC8A	4	1	1	1	20157	0	0.74381	5.1081e-08	2.4516e-07	0.000108	38	4	0.74381
ATP6V1F	4	0.87495	0.87447	1	17283	0	1.1903	5.4376e-08	2.4516e-07	0.000108	39	3	1.1903
SPATA5L1	4	1	1	1	20156	0	0.85585	7.3127e-08	2.4516e-07	0.000108	40	4	0.85585
NOC4L	4	1	1	1	20155	0	1.1765	8.9817e-08	2.4516e-07	0.000108	41	4	1.1765
GTF3C4	4	1	1	1	20154	0	0.59939	1.0194e-07	2.4516e-07	0.000108	42	4	0.59939
EMC7	4	0.43083	0.57366	1	11192	1	0.90654	1.0876e-07	2.4516e-07	0.000108	43	3	0.90654
TSEN2	4	0.99966	0.99968	1	20039	0	0.65655	1.3439e-07	2.4516e-07	0.000108	44	4	0.65655
EIF6	4	1	1	1	20153	0	0.73046	1.4418e-07	2.4516e-07	0.000108	45	4	0.73046
SHQ1	4	1	1	1	20152	0	0.80165	1.8509e-07	2.4516e-07	0.000108	46	4	0.80165
POP7	4	1	1	1	20151	0	0.77081	2.4026e-07	7.3548e-07	0.000275	47	4	0.77081
SPATA5	4	1	1	1	20150	0	0.63066	2.5638e-07	7.3548e-07	0.000275	48	4	0.63066
CSDE1	4	0.82713	0.82653	1	16341	0	1.1852	2.6137e-07	7.3548e-07	0.000275	49	3	1.1852
NIP7	4	0.99999	1	1	20125	0	1.1652	2.6899e-07	7.3548e-07	0.000275	50	4	1.1652
ATP6AP2	4	0.99999	0.99999	1	20114	0	0.92062	2.7156e-07	7.3548e-07	0.000275	51	4	0.92062
IPPK	4	1	1	1	20149	0	0.4664	2.8143e-07	7.3548e-07	0.000275	52	4	0.4664
WDR18	4	1	1	1	20129	0	0.95296	2.9544e-07	7.3548e-07	0.000275	53	4	0.95296
NUBP1	4	1	1	1	20148	0	0.85994	4.7521e-07	7.3548e-07	0.000275	54	4	0.85994
DPH3	4	0.99993	0.99993	1	20085	0	0.69767	5.4676e-07	1.2258e-06	0.000427	55	4	0.69767
RSL1D1	4	1	1	1	20147	0	0.68847	5.6746e-07	1.2258e-06	0.000427	56	4	0.68847
