id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
SLC35A1	4	1	1	1	20193	0	3.6673	1.1541e-17	2.4516e-07	0.000248	1	4	3.6673
COG3	4	1	1	1	20192	0	2.0638	3.5447e-14	2.4516e-07	0.000248	2	4	2.0638
SLC35A2	4	1	1	1	20191	0	2.9607	1.4327e-13	2.4516e-07	0.000248	3	4	2.9607
B3GNT2	4	0.18923	0.33045	0.988566	6548	1	3.131	1.3218e-11	2.4516e-07	0.000248	4	3	3.131
ST3GAL4	4	1	1	1	20190	0	1.5466	2.1115e-11	2.4516e-07	0.000248	5	4	1.5466
MED12	4	1	1	1	20183	0	2.1282	3.2362e-11	2.4516e-07	0.000248	6	4	2.1282
COG4	4	1	1	1	20189	0	2.0348	3.405e-11	2.4516e-07	0.000248	7	4	2.0348
DOHH	4	1	1	1	20188	0	1.1313	6.1834e-11	2.4516e-07	0.000248	8	4	1.1313
PTAR1	4	0.99531	0.99531	1	20025	0	2.3446	1.2779e-10	2.4516e-07	0.000248	9	4	2.3446
LTO1	4	1	1	1	20187	0	1.6024	6.4778e-10	2.4516e-07	0.000248	10	4	1.6024
SLC10A7	4	1	1	1	20186	0	1.2967	1.391e-09	2.4516e-07	0.000248	11	4	1.2967
COG7	4	0.99999	0.99999	1	20172	0	1.5138	4.3639e-09	2.4516e-07	0.000248	12	4	1.5138
TM9SF2	4	1	1	1	20185	0	1.3013	5.7909e-09	2.4516e-07	0.000248	13	4	1.3013
STT3A	4	1	1	1	20184	0	0.99154	7.7544e-09	2.4516e-07	0.000248	14	4	0.99154
TELO2	4	1	1	1	20177	0	1.366	1.4446e-08	2.4516e-07	0.000248	15	4	1.366
SEC63	4	1	1	1	20182	0	1.3991	3.2007e-08	2.4516e-07	0.000248	16	4	1.3991
CCNC	4	1	1	1	20181	0	1.2308	4.5002e-08	2.4516e-07	0.000248	17	4	1.2308
COG5	4	1	1	1	20175	0	1.3571	5.3609e-08	2.4516e-07	0.000248	18	4	1.3571
DNLZ	4	0.99848	0.99848	1	20102	0	1.6782	9.6827e-08	2.4516e-07	0.000248	19	4	1.6782
ATP5F1E	4	0.99999	0.99999	1	20169	0	1.1337	1.0347e-07	2.4516e-07	0.000248	20	4	1.1337
PGS1	4	0.99993	0.99993	1	20164	0	1.4869	2.3752e-07	4.9032e-07	0.000471	21	4	1.4869
CHD4	4	1	1	1	20180	0	1.1112	2.4376e-07	7.3548e-07	0.000646	22	4	1.1112
TOMM40	4	0.9999	0.99991	1	20157	0	1.2866	2.5941e-07	7.3548e-07	0.000646	23	4	1.2866
DNAJC11	4	0.99998	0.99998	1	20168	0	1.3269	5.5204e-07	1.2258e-06	0.00099	24	4	1.3269
ATXN10	4	0.9996	0.99962	1	20143	0	1.5257	5.6455e-07	1.2258e-06	0.00099	25	4	1.5257
PTPMT1	4	0.99999	1	1	20174	0	1.322	8.395e-07	2.2064e-06	0.00165	26	4	1.322
COG2	4	1	1	1	20179	0	1.1044	8.7277e-07	2.2064e-06	0.00165	27	4	1.1044
MCTS1	4	0.99581	0.99581	1	20032	0	0.90446	1.1439e-06	3.6774e-06	0.002561	28	4	0.90446
VPS52	4	0.99698	0.99696	1	20066	0	1.0412	1.2765e-06	3.6774e-06	0.002561	29	4	1.0412
MBTPS1	4	0.99999	0.99999	1	20171	0	0.94402	1.5303e-06	4.1677e-06	0.002715	30	4	0.94402
ALG13	4	1	1	1	20178	0	1.0562	1.7761e-06	4.1677e-06	0.002715	31	4	1.0562
TAMM41	4	0.99104	0.99101	1	19899	0	1.2609	1.9918e-06	4.658e-06	0.00285	32	4	1.2609
TAF6L	4	0.79895	0.80027	1	16028	1	0.87226	2.0441e-06	4.658e-06	0.00285	33	3	0.87226
EIF5B	4	1	1	1	20176	0	0.84079	2.5742e-06	6.129e-06	0.00364	34	4	0.84079
COG6	4	0.99992	0.99993	1	20163	0	0.92706	2.7209e-06	7.5999e-06	0.004385	35	4	0.92706
COG8	4	0.99999	0.99999	1	20170	0	1.5513	2.9295e-06	8.5806e-06	0.004813	36	4	1.5513
ATF6	4	0.99999	1	1	20173	0	0.82864	5.8531e-06	1.8387e-05	0.010031	37	4	0.82864
UNC50	4	0.93413	0.9339	1	18696	0	1.1153	6.5138e-06	1.8877e-05	0.010031	38	3	1.1153
GET1	6	0.9522	0.95224	1	19067	0	0.64679	6.9429e-06	4.4374e-05	0.022401	39	5	0.64679
SEL1L	4	0.9937	0.99369	1	19979	0	0.89168	7.5826e-06	2.2309e-05	0.011551	40	4	0.89168
KDM1A	4	0.99223	0.99223	1	19932	0	0.74419	1.4642e-05	5.1238e-05	0.025235	41	4	0.74419
ARFRP1	4	0.99992	0.99992	1	20161	0	0.98943	1.905e-05	6.6928e-05	0.032178	42	4	0.98943
SEC62	4	0.99915	0.99914	1	20119	0	0.79473	2.6313e-05	9.0464e-05	0.042482	43	4	0.79473
TOMM22	4	0.99996	0.99996	1	20167	0	1.0585	3.8019e-05	0.00013312	0.061094	44	4	1.0585
MBTPS2	4	0.99996	0.99996	1	20166	0	0.93877	4.2494e-05	0.00015224	0.068123	45	4	0.93877
GET3	4	0.97355	0.97342	1	19533	0	0.77967	4.3184e-05	0.00015519	0.068123	46	3	0.77967
VPS53	4	0.99118	0.99114	1	19904	0	0.96627	4.5596e-05	0.00016107	0.069202	47	4	0.96627
TGIF1	4	0.99974	0.99975	1	20149	0	0.72713	5.1438e-05	0.00018215	0.07663	48	4	0.72713
SLC33A1	4	0.99995	0.99995	1	20165	0	0.73456	5.2711e-05	0.00018608	0.076682	49	4	0.73456
GNB1L	4	0.97584	0.97574	1	19591	0	1.3023	5.5849e-05	0.00019784	0.079901	50	3	1.3023
YKT6	4	0.98706	0.98701	1	19813	0	0.70364	6.5932e-05	0.00024442	0.096777	51	4	0.70364
ELP5	4	0.98977	0.98971	1	19872	0	0.62748	7.6471e-05	0.00028708	0.111481	52	4	0.62748
TIMM10	4	0.80554	0.80617	1	16138	1	1.1805	7.8127e-05	0.00029493	0.112367	53	3	1.1805
