id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
DPM1	4	1	1	1	20191	0	0.75483	1.2587e-10	2.4518e-07	0.000619	1	4	0.75483
CLCN5	4	1	1	1	20190	0	0.90817	1.8553e-09	2.4518e-07	0.000619	2	4	0.90817
SLC35A1	4	1	1	1	20189	0	0.76284	5.1099e-09	2.4518e-07	0.000619	3	4	0.76284
PIGP	4	1	1	1	20188	0	0.56485	1.2346e-08	2.4518e-07	0.000619	4	4	0.56485
EMC6	4	0.9995	0.99951	1	20142	0	0.84681	1.718e-08	2.4518e-07	0.000619	5	4	0.84681
CMAS	4	0.92543	0.92518	1	18474	0	0.62097	3.9384e-08	2.4518e-07	0.000619	6	3	0.62097
ALG3	4	1	1	1	20187	0	0.92399	8.5713e-08	2.4518e-07	0.000619	7	4	0.92399
EMC7	4	1	1	1	20186	0	0.8939	8.7019e-08	2.4518e-07	0.000619	8	4	0.8939
EMC1	4	0.96979	0.96965	1	19387	0	0.60768	7.7646e-07	1.7163e-06	0.00385	9	3	0.60768
SLC35A2	4	0.99855	0.99855	1	20101	0	0.83164	1.2688e-06	3.6777e-06	0.007426	10	4	0.83164
VMA21	4	1	1	1	20185	0	0.67738	3.0893e-06	9.0718e-06	0.014498	11	4	0.67738
THG1L	4	1	1	1	20184	0	1.064	3.241e-06	9.0718e-06	0.014498	12	4	1.064
TRAPPC1	4	0.99735	0.99734	1	20067	0	1.4267	3.4798e-06	9.5621e-06	0.014498	13	4	1.4267
RPL10	4	0.89298	0.89258	1	17808	0	1.4854	3.5628e-06	1.0053e-05	0.014498	14	2	1.4854
EMC4	4	1	1	1	20183	0	0.48802	4.6903e-06	1.4956e-05	0.018499	15	4	0.48802
PPAN	7	0.89643	0.91247	1	17876	1	0.5312	4.9608e-06	3.0648e-05	0.026905	16	5	0.5312
MPI	4	0.99885	0.99883	1	20114	0	0.6531	5.0703e-06	1.5447e-05	0.018499	17	4	0.6531
MTHFD1	4	0.99999	1	1	20182	0	0.68501	5.5955e-06	1.7408e-05	0.018499	18	4	0.68501
RAB5C	4	0.99999	1	1	20181	0	0.61814	5.6194e-06	1.7408e-05	0.018499	19	4	0.61814
MMGT1	4	0.98373	0.98368	1	19716	0	0.51394	5.6722e-06	1.7408e-05	0.018499	20	4	0.51394
TKT	4	0.99999	1	1	20180	0	0.53072	6.229e-06	1.8879e-05	0.019059	21	4	0.53072
COG2	4	0.99999	0.99999	1	20179	0	0.65262	7.8077e-06	2.2802e-05	0.021924	22	4	0.65262
EMC2	4	0.99996	0.99996	1	20175	0	0.74177	9.2645e-06	2.9177e-05	0.026778	23	4	0.74177
SBDS	4	0.99999	0.99999	1	20178	0	0.53222	1.3985e-05	4.9772e-05	0.041873	24	4	0.53222
TGFBR1	4	0.82225	0.82168	1	16394	1	0.65011	2.303e-05	8.2136e-05	0.066337	25	3	0.65011
ATP6V0A1	4	0.99977	0.99977	1	20163	0	0.62592	2.5488e-05	8.9492e-05	0.06729	26	4	0.62592
LSM6	4	0.61538	0.67034	1	13292	1	0.59311	2.5915e-05	8.9982e-05	0.06729	27	2	0.59311
