id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
GPR89A	8	1	1	1	20184	0	2.4517	6.7371e-15	2.4523e-07	0.000141	1	8	2.4517
SLC35B2	4	1	1	1	20187	0	3.8092	5.8651e-13	2.4523e-07	0.000141	2	4	3.8092
EXT2	4	1	1	1	20186	0	3.0855	6.5918e-13	2.4523e-07	0.000141	3	4	3.0855
EXT1	4	1	1	1	20185	0	3.207	2.0684e-12	2.4523e-07	0.000141	4	4	3.207
TBC1D3	30	0.97208	0.99799	1	19403	6	0.92734	1.1981e-11	2.4523e-07	0.000141	5	22	0.92734
TM9SF2	4	1	1	1	20183	0	3.1813	1.7385e-11	2.4523e-07	0.000141	6	4	3.1813
RAB1A	4	1	1	1	20182	0	2.3926	5.1374e-11	2.4523e-07	0.000141	7	4	2.3926
EXTL3	4	1	1	1	20181	0	2.4763	6.8007e-11	2.4523e-07	0.000141	8	4	2.4763
GET3	4	1	1	1	20180	0	2.6102	2.2131e-10	2.4523e-07	0.000141	9	4	2.6102
ATP6V0C	4	1	1	1	20179	0	2.9827	2.6261e-10	2.4523e-07	0.000141	10	4	2.9827
B3GAT3	4	1	1	1	20178	0	2.9637	3.5371e-10	2.4523e-07	0.000141	11	4	2.9637
COG7	4	1	1	1	20177	0	2.6748	5.2097e-10	2.4523e-07	0.000141	12	4	2.6748
ALDOA	4	1	1	1	20176	0	2.0475	6.7739e-10	2.4523e-07	0.000141	13	4	2.0475
VPS52	4	0.99319	0.99318	1	19872	0	2.9841	8.7603e-10	2.4523e-07	0.000141	14	4	2.9841
PTAR1	4	1	1	1	20171	0	3.1542	9.3376e-10	2.4523e-07	0.000141	15	4	3.1542
COG3	4	1	1	1	20175	0	2.043	2.042e-09	2.4523e-07	0.000141	16	4	2.043
NDST1	3	1	1	1	20174	0	3.4883	2.2787e-09	2.4523e-07	0.000141	17	3	3.4883
B4GALT7	4	1	1	1	20168	0	3.2028	2.5618e-09	2.4523e-07	0.000141	18	4	3.2028
GET1	6	0.35378	0.56901	1	9810	1	2.3146	3.8141e-09	2.4523e-07	0.000141	19	4	2.3146
COG6	4	1	1	1	20173	0	1.7163	3.9764e-09	2.4523e-07	0.000141	20	4	1.7163
ATP6V1C1	4	1	1	1	20172	0	2.3033	5.5418e-09	2.4523e-07	0.000141	21	4	2.3033
CAMLG	4	0.99984	0.99985	1	20115	0	2.6592	6.2438e-09	2.4523e-07	0.000141	22	4	2.6592
VPS53	4	0.99749	0.99749	1	19985	0	2.612	1.0225e-08	2.4523e-07	0.000141	23	4	2.612
COG4	4	1	1	1	20170	0	2.5543	2.9927e-08	2.4523e-07	0.000141	24	4	2.5543
B3GALT6	4	0.018104	0.058339	0.921984	1210	1	2.2702	3.7345e-08	2.4523e-07	0.000141	25	3	2.2702
