id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
Anp32b	4	1	1	1	21189	0	2.3464	3.7537e-18	2.3364e-07	0.000236	1	4	2.3464
Slc35a1	4	1	1	1	21188	0	1.6271	2.0374e-16	2.3364e-07	0.000236	2	4	1.6271
Gne	4	1	1	1	21187	0	1.0569	1.2336e-14	2.3364e-07	0.000236	3	4	1.0569
Slc35a2	4	1	1	1	21186	0	1.3762	1.4306e-14	2.3364e-07	0.000236	4	4	1.3762
Nans	4	1	1	1	21185	0	1.0357	1.1695e-13	2.3364e-07	0.000236	5	4	1.0357
Wdr7	4	1	1	1	21184	0	1.09	4.768e-12	2.3364e-07	0.000236	6	4	1.09
Dffb	4	1	1	1	21183	0	0.6521	5.101e-12	2.3364e-07	0.000236	7	4	0.6521
Ccdc115	4	1	1	1	21182	0	1.1779	7.9452e-12	2.3364e-07	0.000236	8	4	1.1779
Cmas	4	0.99999	0.99999	1	21166	0	1.3493	1.2099e-11	2.3364e-07	0.000236	9	4	1.3493
Cmtr1	4	1	1	1	21181	0	1.4685	2.7748e-11	2.3364e-07	0.000236	10	4	1.4685
Atp6v0d1	4	1	1	1	21180	0	0.58434	5.0052e-11	2.3364e-07	0.000236	11	4	0.58434
St3gal4	4	1	1	1	21179	0	0.42062	1.3195e-10	2.3364e-07	0.000236	12	4	0.42062
Dmxl1	4	1	1	1	21178	0	0.62578	2.8079e-10	2.3364e-07	0.000236	13	4	0.62578
Dffa	4	1	1	1	21173	0	0.61892	1.4342e-09	2.3364e-07	0.000236	14	4	0.61892
Casp3	4	1	1	1	21169	0	0.62824	2.5556e-09	2.3364e-07	0.000236	15	4	0.62824
Hsd17b10	4	0.99999	0.99999	1	21162	0	0.85231	6.4975e-09	2.3364e-07	0.000236	16	4	0.85231
Casp9	4	1	1	1	21175	0	0.46688	8.3115e-09	2.3364e-07	0.000236	17	4	0.46688
Ugp2	4	0.55766	0.63575	1	12878	1	0.61117	9.333e-09	2.3364e-07	0.000236	18	3	0.61117
Tmem199	4	1	1	1	21177	0	0.60708	2.129e-08	2.3364e-07	0.000236	19	4	0.60708
Irf8	4	1	1	1	21176	0	0.43362	3.7496e-08	2.3364e-07	0.000236	20	4	0.43362
Luc7l2	4	0.99999	0.99999	1	21164	0	0.61976	3.8002e-08	2.3364e-07	0.000236	21	4	0.61976
Nme6	4	1	1	1	21174	0	0.56788	1.5569e-07	7.0091e-07	0.000571	22	4	0.56788
Atp6v1d	4	0.99986	0.99986	1	21136	0	0.58403	2.7606e-07	7.0091e-07	0.000571	23	4	0.58403
Mtg2	4	1	1	1	21172	0	0.50868	2.833e-07	7.0091e-07	0.000571	24	4	0.50868
Apaf1	4	0.99999	0.99999	1	21158	0	0.40557	2.9683e-07	7.0091e-07	0.000571	25	4	0.40557
Mlst8	4	1	1	1	21171	0	0.37955	3.1682e-07	7.0091e-07	0.000571	26	4	0.37955
Dyrk1a	4	1	1	1	21170	0	0.38242	5.3498e-07	1.1682e-06	0.000884	27	4	0.38242
Mrpl20	4	1	1	1	21168	0	0.8838	6.3219e-07	1.1682e-06	0.000884	28	4	0.8838
Mipep	4	0.99993	0.99994	1	21144	0	0.56387	8.1452e-07	2.1027e-06	0.001536	29	4	0.56387
Ndufa2	4	0.98625	0.98622	1	20695	0	0.50777	1.3713e-06	4.4391e-06	0.003135	30	4	0.50777
Atp6v1a	4	0.90625	0.90597	1	18801	0	0.55622	1.6332e-06	4.9063e-06	0.003354	31	3	0.55622
Atp6v1h	4	0.827	0.82656	1	17115	0	0.52515	2.3232e-06	6.7754e-06	0.004486	32	3	0.52515
Polg2	4	0.99996	0.99996	1	21150	0	0.6962	2.9203e-06	9.579e-06	0.006151	33	4	0.6962
Alad	4	0.99972	0.99972	1	21122	0	0.39685	3.208e-06	1.0981e-05	0.006843	34	4	0.39685
Slc25a26	4	0.99993	0.99993	1	21142	0	0.59682	4.8554e-06	1.6121e-05	0.00976	35	4	0.59682
Sgf29	4	0.99998	0.99998	1	21157	0	0.56518	5.3677e-06	1.7055e-05	0.010039	36	4	0.56518
