id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
ACE2	4	1	1	1	22182	0	0.7828	1.821e-13	2.2318e-07	0.000495	1	4	0.7828
SMARCA4	4	1	1	1	22181	0	0.73703	6.2363e-13	2.2318e-07	0.000495	2	4	0.73703
CSNK2B	4	1	1	1	22180	0	0.51482	3.1017e-11	2.2318e-07	0.000495	3	4	0.51482
ARID1A	4	1	1	1	22179	0	0.68427	3.2915e-11	2.2318e-07	0.000495	4	4	0.68427
UBE2M	4	1	1	1	22178	0	0.53057	4.3274e-10	2.2318e-07	0.000495	5	4	0.53057
TRAF3	4	1	1	1	22176	0	0.46851	1.7492e-09	2.2318e-07	0.000495	6	4	0.46851
SMARCB1	4	1	1	1	22177	0	0.48248	3.0717e-09	2.2318e-07	0.000495	7	4	0.48248
SNX27	4	0.999	0.999	1	22116	0	0.56036	8.0952e-09	2.2318e-07	0.000495	8	4	0.56036
PHIP	4	1	1	1	22175	0	0.40691	1.3249e-08	2.2318e-07	0.000495	9	4	0.40691
DPF2	4	1	1	1	22174	0	0.43794	3.9583e-08	2.2318e-07	0.000495	10	4	0.43794
DHX29	4	0.65127	0.70261	1	15265	1	0.38312	5.1124e-07	1.5622e-06	0.00315	11	3	0.38312
PCBD1	4	0.98598	0.986	1	21782	0	0.41503	5.4029e-07	2.0086e-06	0.003182	12	4	0.41503
EP300	4	0.99978	0.99976	1	22145	0	0.45904	6.385e-07	2.0086e-06	0.003182	13	4	0.45904
LOC103214541	4	0.99999	0.99998	1	22164	0	0.44929	6.6795e-07	2.0086e-06	0.003182	14	4	0.44929
RAD54L2	4	1	1	1	22173	0	0.50937	9.6925e-07	2.9013e-06	0.00429	15	4	0.50937
PPARG	4	0.99764	0.99764	1	22065	0	0.38999	1.1613e-06	3.3476e-06	0.004641	16	4	0.38999
ACVR1B	4	1	1	1	22172	0	0.35404	1.3158e-06	3.794e-06	0.00495	17	4	0.35404
ASCC3	4	1	1	1	22171	0	0.36862	1.4823e-06	4.2403e-06	0.00495	18	4	0.36862
TP53	4	0.99999	0.99999	1	22167	0	0.23995	1.5126e-06	4.2403e-06	0.00495	19	4	0.23995
ATP6V1A	4	1	1	1	22170	0	0.3189	2.7778e-06	1.1828e-05	0.013119	20	4	0.3189
DDX3X	4	1	1	1	22169	0	0.41735	4.0891e-06	1.5846e-05	0.016737	21	4	0.41735
UBXN7	4	0.99998	0.99998	1	22162	0	0.39399	4.3879e-06	1.7631e-05	0.017777	22	4	0.39399
SOCS3	4	0.99284	0.99286	1	21939	0	0.36426	4.6005e-06	1.8524e-05	0.017865	23	4	0.36426
AHR	4	1	0.99999	1	22168	0	0.34367	4.8718e-06	1.9416e-05	0.017946	24	4	0.34367
CUL3	4	0.99999	0.99999	1	22166	0	0.48689	5.3002e-06	2.0309e-05	0.01802	25	4	0.48689
KDM6A	4	0.99993	0.99992	1	22154	0	0.40028	8.5157e-06	3.2361e-05	0.027609	26	4	0.40028
TRMT10A	4	0.82053	0.82138	1	17991	1	0.37728	1.009e-05	3.8609e-05	0.031294	27	3	0.37728
UBAP1	4	0.99999	0.99999	1	22165	0	0.3465	1.0304e-05	3.9502e-05	0.031294	28	4	0.3465
ATP6V1B2	4	0.9996	0.99958	1	22134	0	0.34834	1.3445e-05	5.3785e-05	0.04114	29	4	0.34834
SMARCC1	4	0.99998	0.99998	1	22163	0	0.32653	1.899e-05	7.0747e-05	0.05231	30	4	0.32653
ZBTB26	4	0.99987	0.99987	1	22149	0	0.3729	2.014e-05	7.4764e-05	0.053497	31	4	0.3729
CTSL	4	0.99993	0.99993	1	22156	0	0.42896	2.1186e-05	8.012e-05	0.055538	32	4	0.42896
SH3RF2	4	0.21943	0.36683	1	7903	2	-0.047347	2.354e-05	9.1279e-05	0.060716	33	1	-0.047347
YKT6	4	0.99844	0.99842	1	22093	0	0.35962	2.4119e-05	9.3064e-05	0.060716	34	4	0.35962
CD74	4	0.90492	0.90481	1	19867	0	0.29	2.6265e-05	0.0001011	0.064074	35	3	0.29
STK40	4	0.98971	0.98973	1	21866	0	0.38994	2.7305e-05	0.00010512	0.064769	36	4	0.38994
COG4	4	0.99997	0.99997	1	22161	0	0.33061	2.8223e-05	0.00010913	0.065427	37	4	0.33061
KDM4A	4	0.99997	0.99997	1	22160	0	0.23499	2.9371e-05	0.00011404	0.066571	38	4	0.23499
RFWD2	4	0.99801	0.998	1	22076	0	0.32722	3.7218e-05	0.00013949	0.077351	39	4	0.32722
RALGAPA2	4	0.98492	0.98492	1	21750	0	0.33796	4.2926e-05	0.00015912	0.083007	40	4	0.33796
UBC	4	0.99996	0.99995	1	22159	0	0.21939	4.3015e-05	0.00015957	0.083007	41	4	0.21939
METAP1	4	0.99996	0.99995	1	22158	0	0.24378	4.3467e-05	0.00016091	0.083007	42	4	0.24378
ANKS3	4	0.99633	0.99632	1	22028	0	0.29773	4.6988e-05	0.00017564	0.088546	43	4	0.29773
RREB1	4	0.99819	0.99819	1	22086	0	0.31841	5.1955e-05	0.00019394	0.0956	44	4	0.31841
KMT2D	4	0.99994	0.99994	1	22157	0	0.29311	5.8918e-05	0.00021983	0.106005	45	4	0.29311
VPS35	4	0.99944	0.99942	1	22127	0	0.43277	6.5114e-05	0.00025107	0.118296	46	4	0.43277
RPS13	2	0.99993	0.99993	1	22155	0	0.42477	7.152e-05	0.00013859	0.077351	47	2	0.42477
CDH2	4	0.99992	0.99992	1	22153	0	0.24688	7.6957e-05	0.00029973	0.135684	48	4	0.24688
PI4KB	4	0.99992	0.99991	1	22152	0	0.23433	8.3788e-05	0.00032874	0.145842	49	4	0.23433
C18H18orf8	4	0.96178	0.96176	1	21196	0	0.3113	0.00010092	0.00040105	0.171078	50	3	0.3113
LZTR1	4	0.13885	0.28266	1	6047	1	0.24533	0.0001064	0.00042292	0.177004	51	3	0.24533
TCEB3	4	0.99989	0.99988	1	22151	0	0.29855	0.00011243	0.00044747	0.182196	52	4	0.29855
SLC35B4	4	0.99988	0.99988	1	22150	0	0.28127	0.00011539	0.00045818	0.182196	53	4	0.28127
RQCD1	4	0.99216	0.99217	1	21917	0	0.32936	0.0001161	0.00045997	0.182196	54	4	0.32936
ATP6V0C	4	0.97555	0.97566	1	21527	0	0.39871	0.00012035	0.00047737	0.183254	55	3	0.39871
POU2F1	4	0.86831	0.86827	1	19041	0	0.22107	0.00012089	0.00047916	0.183254	56	2	0.22107
MAGI1	4	0.30777	0.455	1	9802	1	0.25462	0.00014804	0.00058896	0.217904	57	3	0.25462
PIKFYVE	4	0.99985	0.99984	1	22148	0	0.21403	0.00014823	0.00058941	0.217904	58	4	0.21403
CD44	4	0.99985	0.99984	1	22147	0	0.2471	0.00015303	0.00060726	0.220825	59	4	0.2471
LOC103228438	4	0.85611	0.85607	1	18765	0	0.3168	0.00016236	0.00064386	0.230358	60	3	0.3168
ANP32A	4	0.99262	0.99264	1	21929	0	0.25934	0.00016899	0.00066306	0.233459	61	4	0.25934
HAT1	4	0.96747	0.96746	1	21338	0	0.26816	0.00018576	0.00072242	0.246535	62	3	0.26816
FAF1	4	0.57439	0.66247	1	14315	1	0.11185	0.00021185	0.00082464	0.274789	63	3	0.11185
LOC103238262	5	0.83416	0.84625	1	18271	1	0.28402	0.000213	0.0010005	0.304422	64	4	0.28402
SDR39U1	4	0.95002	0.94991	1	20932	0	0.20791	0.00021322	0.00082999	0.274789	65	3	0.20791
AHCYL1	4	0.99978	0.99977	1	22146	0	0.31593	0.00021741	0.00084785	0.276573	66	4	0.31593
BRWD1	4	0.98314	0.98315	1	21705	0	0.25887	0.00022939	0.00090096	0.288614	67	4	0.25887
SPTY2D1	4	0.45096	0.59853	1	12828	1	0.2891	0.00023117	0.00091078	0.288614	68	3	0.2891
LOC103239133	1	0.99975	0.99977	1	22144	0	0.65887	0.00025306	0.00025598	0.118296	69	1	0.65887
NXF1	4	0.99974	0.99973	1	22143	0	0.26121	0.00025818	0.00099938	0.304422	70	4	0.26121
HES1	4	0.849	0.84893	1	18598	0	0.15904	0.00025892	0.0010018	0.304422	71	3	0.15904
LOC103239113	4	0.99964	0.99962	1	22138	0	0.32547	0.00026719	0.0010335	0.309807	72	4	0.32547
ATP6V1D	4	0.99669	0.99669	1	22038	0	0.26268	0.00029008	0.0011219	0.331815	73	4	0.26268
GRAMD1C	4	0.87751	0.87748	1	19238	0	0.28466	0.00030533	0.0011746	0.334666	74	3	0.28466
ANP32B	4	0.99969	0.99967	1	22142	0	0.23883	0.00030553	0.0011755	0.334666	75	4	0.23883
CASP8	4	0.059073	0.14021	0.979283	3072	2	-0.04043	0.00030599	0.0011768	0.334666	76	2	-0.04043
CMIP	4	0.99968	0.99966	1	22141	0	0.26546	0.00031678	0.0012152	0.336328	77	4	0.26546
NEK7	4	0.96995	0.96994	1	21409	0	0.26529	0.00031999	0.0012281	0.336328	78	3	0.26529
NAA40	4	0.99924	0.99923	1	22123	0	0.28015	0.00032024	0.0012281	0.336328	79	4	0.28015
TMEM41B	4	0.99967	0.99965	1	22140	0	0.30214	0.0003273	0.0012585	0.340437	80	4	0.30214
ZNF628	4	0.9924	0.99241	1	21922	0	0.23435	0.00033323	0.0012804	0.342181	81	4	0.23435
LOC103221653	1	0.99964	0.99967	1	22139	0	0.78833	0.00035899	0.00036489	0.158707	82	1	0.78833
DMRTA1	4	0.99963	0.99961	1	22137	0	0.17695	0.00036928	0.0014241	0.376061	83	4	0.17695
VPS26A	4	0.99962	0.9996	1	22136	0	0.30078	0.0003807	0.0014625	0.381077	84	4	0.30078
PHF21A	4	0.90137	0.9013	1	19786	0	0.25667	0.00039091	0.0014946	0.381077	85	3	0.25667
OMD	4	0.99961	0.99959	1	22135	0	0.20851	0.00039317	0.0015031	0.381077	86	4	0.20851
SLC23A1	4	0.002545	0.0091089	0.813584	242	3	-0.1962	0.00040013	0.0015263	0.381077	87	1	-0.1962
SUV39H2	4	0.87271	0.87265	1	19150	0	0.17527	0.00040113	0.001529	0.381077	88	3	0.17527
GLTSCR1	4	0.99959	0.99957	1	22133	0	0.16005	0.00041203	0.0015714	0.387294	89	4	0.16005
LOC103221863	4	0.99957	0.99955	1	22132	0	0.26722	0.00042932	0.0016263	0.39642	90	4	0.26722
LOC103218175	4	0.83405	0.83421	1	18266	1	0.066098	0.00044719	0.0016928	0.408147	91	2	0.066098
COG2	4	0.46564	0.61344	1	13163	1	0.26403	0.00047131	0.0017812	0.424838	92	3	0.26403
NDUFAF4	4	0.99952	0.99949	1	22131	0	0.2385	0.00048398	0.0018276	0.426941	93	4	0.2385
CLCN1	4	0.67349	0.71533	1	15562	1	0.16396	0.00049426	0.001862	0.430229	94	3	0.16396
VMP1	4	0.99159	0.99162	1	21902	0	0.29075	0.0005053	0.0018972	0.430845	95	4	0.29075
XYLT2	4	0.99949	0.99947	1	22130	0	0.19369	0.00050728	0.0019035	0.430845	96	4	0.19369
SMAD3	4	0.59449	0.67246	1	14535	1	0.28987	0.0005228	0.0019655	0.440394	97	3	0.28987
C22H3orf84	4	0.94775	0.94765	1	20890	0	0.29073	0.0005317	0.002003	0.444307	98	3	0.29073
LOC103241058	4	0.99946	0.99944	1	22129	0	0.18705	0.00054438	0.0020436	0.447729	99	4	0.18705
CABP5	4	0.99945	0.99943	1	22128	0	0.17631	0.00054792	0.0020588	0.447729	100	4	0.17631
ARHGAP27	4	0.89361	0.89349	1	19596	0	0.25482	0.00055458	0.002082	0.44838	101	3	0.25482
VCP	4	0.98951	0.98954	1	21861	0	0.34051	0.00056318	0.0021222	0.451155	102	4	0.34051
CCDC93	4	0.99943	0.99942	1	22126	0	0.19151	0.00056549	0.0021356	0.451155	103	4	0.19151
ARFRP1	4	0.99265	0.99266	1	21932	0	0.3088	0.00058953	0.0022137	0.458916	104	4	0.3088
C11H12orf61	4	0.99938	0.99937	1	22125	0	0.21373	0.00061854	0.0023257	0.477677	105	4	0.21373
LOC103245917	4	0.97023	0.97022	1	21418	0	0.36147	0.00063544	0.0023813	0.480693	106	3	0.36147
SPATA12	4	0.97935	0.97946	1	21616	0	0.26158	0.00063631	0.0023837	0.480693	107	3	0.26158
LOC103219917	4	0.72106	0.7447	1	16255	1	0.2159	0.00065832	0.0024574	0.486696	108	3	0.2159
PKP4	4	0.17843	0.32566	1	6956	2	0.11215	0.00067486	0.0025074	0.492202	109	2	0.11215
LOC103244656	4	0.87993	0.87993	1	19299	0	0.27955	0.00069269	0.0025797	0.501954	110	3	0.27955
TCTA	4	0.92389	0.92388	1	20328	0	0.32359	0.00071117	0.0026533	0.511795	111	3	0.32359
LOC103233964	1	0.99929	0.99933	1	22124	0	0.57585	0.0007121	0.00072064	0.246535	112	1	0.57585
LRRC55	4	0.8787	0.87868	1	19270	0	0.22795	0.00073839	0.0027475	0.525393	113	3	0.22795
GNPAT	4	0.99922	0.9992	1	22122	0	0.21878	0.00078245	0.0028966	0.549166	114	4	0.21878
ATG9A	4	0.9992	0.99918	1	22121	0	0.175	0.00080224	0.0029671	0.553083	115	4	0.175
WFDC10B	4	0.92134	0.92128	1	20267	0	0.082193	0.00082366	0.0030412	0.56217	116	3	0.082193
LOC103244172	3	0.99915	0.99917	1	22120	0	0.22189	0.000847	0.002436	0.486696	117	3	0.22189
NR5A1	4	0.99407	0.99409	1	21978	0	0.29652	0.00085115	0.0031475	0.576999	118	4	0.29652
SOAT2	4	0.99914	0.99913	1	22119	0	0.15477	0.00086339	0.0031921	0.580385	119	4	0.15477
LOC103214542	6	0.99643	0.99646	1	22032	0	0.20757	0.00086622	0.0045213	0.632519	120	5	0.20757
LOC103232742	4	0.14485	0.29184	1	6222	2	0.022135	0.00087071	0.0032193	0.580576	121	2	0.022135
RNF7	4	0.97954	0.97965	1	21626	0	0.18523	0.00088024	0.0032599	0.58316	122	3	0.18523
EOGT	4	0.66994	0.71324	1	15519	1	0.20568	0.00088925	0.0032925	0.584277	123	3	0.20568
SLC39A9	4	0.99368	0.9937	1	21966	0	0.22107	0.00090237	0.0033273	0.585769	124	4	0.22107
CLDN3	4	0.095024	0.20691	0.996649	4465	2	-0.030589	0.00091776	0.0033845	0.591136	125	1	-0.030589
DDX60L	4	0.29547	0.44274	1	9532	1	0.2398	0.00093727	0.003451	0.598043	126	3	0.2398
SLC25A17	4	0.99904	0.99904	1	22118	0	0.21851	0.00095786	0.0035251	0.603694	127	4	0.21851
PHF6	4	0.94376	0.94369	1	20794	0	0.23704	0.00096137	0.003538	0.603694	128	3	0.23704
ARPP19	4	0.99902	0.99902	1	22117	0	0.14337	0.00098061	0.0036054	0.610498	129	4	0.14337
CASC5	5	0.85551	0.86127	1	18750	1	0.23971	0.0010083	0.0044713	0.632519	130	3	0.23971
CTSD	4	0.99899	0.99899	1	22115	0	0.15482	0.0010107	0.0037103	0.6235	131	4	0.15482
LOC103219893	4	0.46361	0.6114	1	13128	1	0.18022	0.0010411	0.0038272	0.62736	132	3	0.18022
PPME1	4	0.99894	0.99894	1	22114	0	0.20348	0.0010588	0.0038946	0.62736	133	4	0.20348
AGAP2	4	0.99893	0.99894	1	22113	0	0.2445	0.0010668	0.0039214	0.62736	134	4	0.2445
CASP1	4	0.94871	0.9486	1	20899	0	0.20711	0.0010675	0.0039254	0.62736	135	3	0.20711
IGSF23	4	0.99893	0.99893	1	22112	0	0.17391	0.0010713	0.0039429	0.62736	136	4	0.17391
GABRA3	4	0.8895	0.88941	1	19504	0	0.23797	0.0010749	0.0039562	0.62736	137	2	0.23797
CCM2	4	0.98559	0.98561	1	21771	0	0.21125	0.0010805	0.0039732	0.62736	138	4	0.21125
LOC103225820	4	0.45163	0.59921	1	12844	2	0.13986	0.0011011	0.0040495	0.62736	139	2	0.13986
IRX1	4	0.22303	0.37046	1	7977	2	-0.0016206	0.0011059	0.0040665	0.62736	140	2	-0.0016206
LOC103236032	2	0.99888	0.99887	1	22111	0	0.27827	0.0011178	0.0021682	0.453718	141	2	0.27827
ARPC4	4	0.99887	0.99886	1	22110	0	0.20596	0.001127	0.0041406	0.62736	142	4	0.20596
SPATA2	4	0.98235	0.98235	1	21687	0	0.19182	0.0011351	0.0041692	0.62736	143	4	0.19182
MYCL	4	0.99886	0.99885	1	22109	0	0.21205	0.0011374	0.0041754	0.62736	144	4	0.21205
FOXP1	4	0.99886	0.99885	1	22108	0	0.24187	0.00114	0.0041857	0.62736	145	4	0.24187
CTNND1	4	0.91954	0.91947	1	20219	0	0.21663	0.0011415	0.0041915	0.62736	146	3	0.21663
URAD	4	0.19911	0.34641	1	7441	1	0.21974	0.0011498	0.0042245	0.62736	147	3	0.21974
SMC1B	4	0.7869	0.79249	1	17327	1	0.24337	0.0011546	0.0042424	0.62736	148	3	0.24337
PLA2G16	4	0.5258	0.64023	1	13786	1	0.22005	0.0011937	0.0043776	0.632519	149	3	0.22005
DDIT4L	4	0.49042	0.62484	1	13430	1	0.23163	0.0011955	0.0043839	0.632519	150	3	0.23163
LOC103242036	4	0.99879	0.99878	1	22107	0	0.17631	0.0012109	0.0044423	0.632519	151	4	0.17631
ISG20L2	4	0.29591	0.44319	1	9539	1	0.24645	0.0012206	0.0044762	0.632519	152	3	0.24645
LOC103234380	8	0.98417	0.98404	1	21727	0	0.14018	0.0012344	0.0071727	0.684797	153	7	0.14018
ADAMTS1	4	0.88	0.87999	1	19301	0	0.22018	0.0012393	0.0045414	0.632519	154	3	0.22018
ARL5C	4	0.7776	0.7851	1	17147	1	0.19048	0.0012424	0.0045503	0.632519	155	2	0.19048
GUCA2A	4	0.96238	0.96237	1	21213	0	0.19323	0.0012464	0.0045593	0.632519	156	3	0.19323
SH3TC1	4	0.53668	0.64503	1	13900	1	0.12657	0.0012471	0.0045624	0.632519	157	2	0.12657
ATP11A	4	0.99873	0.99872	1	22106	0	0.20128	0.0012719	0.0046543	0.641258	158	4	0.20128
TBRG1	4	0.33606	0.48331	1	10374	1	0.22926	0.0012886	0.0047133	0.645367	159	3	0.22926
L3MBTL3	4	0.9987	0.99869	1	22105	0	0.18751	0.001299	0.0047512	0.646571	160	4	0.18751
EIF5	4	0.99869	0.99868	1	22104	0	0.23636	0.0013091	0.0047874	0.647519	161	4	0.23636
ZNF234	4	0.99867	0.99865	1	22103	0	0.22197	0.0013339	0.0048735	0.653732	162	4	0.22197
SSBP2	4	0.99866	0.99864	1	22102	0	0.20255	0.0013404	0.0048945	0.653732	163	4	0.20255
TMEM30A	4	0.60586	0.67828	1	14681	1	0.3507	0.0013481	0.0049217	0.653732	164	3	0.3507
LOC103247824	3	0.99865	0.99868	1	22101	0	0.15667	0.0013537	0.0038455	0.62736	165	3	0.15667
EXOC6	4	0.97833	0.97845	1	21590	0	0.23036	0.0013656	0.0049802	0.654557	166	3	0.23036
TLE2	4	0.83333	0.8335	1	18247	1	0.071845	0.0013882	0.0050659	0.654557	167	2	0.071845
LCMT1	4	0.19724	0.3445	1	7408	1	0.20888	0.0013899	0.0050721	0.654557	168	3	0.20888
ZC3H15	4	0.98592	0.98592	1	21780	0	0.2874	0.0013923	0.0050806	0.654557	169	4	0.2874
BRD7	4	0.59373	0.67207	1	14532	1	0.17852	0.0013963	0.0050958	0.654557	170	3	0.17852
GNB2L1	4	0.99859	0.99857	1	22100	0	0.25966	0.0014107	0.0051456	0.654557	171	4	0.25966
SERF2	3	0.99856	0.99859	1	22099	0	0.24523	0.0014353	0.0040585	0.62736	172	3	0.24523
ATPIF1	4	0.98766	0.98771	1	21818	0	0.26083	0.0014365	0.005235	0.654557	173	4	0.26083
BEND4	4	0.63887	0.69576	1	15097	1	0.17892	0.0014388	0.0052408	0.654557	174	2	0.17892
LOC103227314	4	0.94977	0.94964	1	20925	0	0.25163	0.0014462	0.0052623	0.654557	175	3	0.25163
DGKD	4	0.99837	0.99836	1	22090	0	0.22152	0.0014573	0.0053011	0.654557	176	4	0.22152
MED12	4	0.99758	0.99756	1	22062	0	0.23658	0.0014579	0.0053042	0.654557	177	4	0.23658
SLITRK3	4	0.99852	0.9985	1	22098	0	0.14926	0.0014819	0.0053877	0.654557	178	4	0.14926
LOC103223762	4	0.67088	0.71379	1	15529	1	0.22397	0.0014824	0.0053886	0.654557	179	3	0.22397
ALS2CR12	4	0.96483	0.96484	1	21277	0	0.26547	0.0015015	0.0054542	0.654557	180	3	0.26547
VPS18	4	0.9985	0.99848	1	22097	0	0.18721	0.0015041	0.0054654	0.654557	181	4	0.18721
KIAA1033	4	0.99849	0.99848	1	22096	0	0.17377	0.0015063	0.0054743	0.654557	182	4	0.17377
PKMYT1	4	0.99849	0.99847	1	22095	0	0.13166	0.0015088	0.0054805	0.654557	183	4	0.13166
WDR45	4	0.16773	0.31489	1	6719	1	0.31359	0.0015106	0.0054886	0.654557	184	3	0.31359
LOC103235742	4	0.36275	0.51014	1	10972	2	-0.022905	0.0015293	0.0055551	0.655598	185	1	-0.022905
PMEPA1	4	0.99847	0.99845	1	22094	0	0.15713	0.0015298	0.0055564	0.655598	186	4	0.15713
ZNF24	4	0.93058	0.93055	1	20477	0	0.22189	0.0015449	0.0056037	0.655628	187	3	0.22189
LOC103215798	6	0.92238	0.92367	1	20292	1	0.12994	0.0015461	0.007835	0.694609	188	5	0.12994
NCOA6	4	0.99844	0.99842	1	22092	0	0.16753	0.0015614	0.0056627	0.657638	189	4	0.16753
