id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
COMMD3	7	1	1	1	20193	0	0.89431	6.5696e-20	2.4516e-07	6.8e-05	1	7	0.89431
ANPEP	4	1	1	1	20192	0	2.1099	8.8743e-17	2.4516e-07	6.8e-05	2	4	2.1099
VMP1	4	1	1	1	20191	0	1.8184	4.0553e-15	2.4516e-07	6.8e-05	3	4	1.8184
TMEM41B	4	1	1	1	20190	0	1.6976	5.993e-15	2.4516e-07	6.8e-05	4	4	1.6976
ARPC4	4	1	1	1	20189	0	1.714	1.0105e-14	2.4516e-07	6.8e-05	5	4	1.714
VPS29	4	1	1	1	20188	0	1.5453	4.4545e-14	2.4516e-07	6.8e-05	6	4	1.5453
ARPC2	4	1	1	1	20187	0	1.242	1.4278e-13	2.4516e-07	6.8e-05	7	4	1.242
ACTR3	4	1	1	1	20186	0	1.2146	2.2978e-13	2.4516e-07	6.8e-05	8	4	1.2146
CCZ1	7	1	1	1	20179	0	1.0403	2.8768e-13	2.4516e-07	6.8e-05	9	7	1.0403
ACTR2	4	1	1	1	20185	0	1.3858	2.2367e-12	2.4516e-07	6.8e-05	10	4	1.3858
TBC1D3	30	0.99999	1	1	20038	1	0.28807	2.6916e-12	2.4516e-07	6.8e-05	11	27	0.28807
WASHC4	4	1	1	1	20184	0	0.82864	8.6447e-12	2.4516e-07	6.8e-05	12	4	0.82864
CBWD1	9	0.89546	0.94874	1	16926	1	0.58066	6.8843e-11	2.4516e-07	6.8e-05	13	8	0.58066
SOD1	4	1	1	1	20183	0	1.2378	9.5402e-11	2.4516e-07	6.8e-05	14	4	1.2378
VPS26A	4	1	1	1	20182	0	1.1252	9.8602e-11	2.4516e-07	6.8e-05	15	4	1.1252
LIMS1	12	0.99852	0.99851	1	19723	0	0.29156	1.3507e-10	2.4516e-07	6.8e-05	16	11	0.29156
RTCB	4	1	1	1	20181	0	0.82284	4.2329e-10	2.4516e-07	6.8e-05	17	4	0.82284
LOC642969	5	1	1	1	20180	0	0.52806	7.3163e-10	2.4516e-07	6.8e-05	18	5	0.52806
DPH3	4	1	1	1	20178	0	0.98285	8.1205e-10	2.4516e-07	6.8e-05	19	4	0.98285
TRMT5	4	1	1	1	20177	0	0.69299	8.6859e-10	2.4516e-07	6.8e-05	20	4	0.69299
TMEM199	4	1	1	1	20176	0	0.74781	9.1936e-10	2.4516e-07	6.8e-05	21	4	0.74781
GEMIN4	4	1	1	1	20175	0	0.84562	1.0656e-09	2.4516e-07	6.8e-05	22	4	0.84562
ARPC3	4	1	1	1	20174	0	1.0785	1.2945e-09	2.4516e-07	6.8e-05	23	4	1.0785
PIK3C3	4	1	1	1	20173	0	0.79238	1.5328e-09	2.4516e-07	6.8e-05	24	4	0.79238
VPS11	4	1	1	1	20172	0	0.51733	1.6771e-09	2.4516e-07	6.8e-05	25	4	0.51733
COMMD2	4	1	1	1	20171	0	0.70525	2.2892e-09	2.4516e-07	6.8e-05	26	4	0.70525
VPS35	4	1	1	1	20082	0	1.2915	2.3248e-09	2.4516e-07	6.8e-05	27	4	1.2915
CCDC93	4	1	1	1	20170	0	0.89493	2.6707e-09	2.4516e-07	6.8e-05	28	4	0.89493
GRPEL1	4	1	1	1	20169	0	0.74	2.8279e-09	2.4516e-07	6.8e-05	29	4	0.74
LSM12	4	1	1	1	20168	0	0.52339	2.8683e-09	2.4516e-07	6.8e-05	30	4	0.52339
AP2S1	4	1	1	1	20167	0	0.76454	4.0516e-09	2.4516e-07	6.8e-05	31	4	0.76454
CCDC22	4	1	1	1	20121	0	0.92947	4.5188e-09	2.4516e-07	6.8e-05	32	4	0.92947
BECN1	4	1	1	1	20166	0	0.77594	5.403e-09	2.4516e-07	6.8e-05	33	4	0.77594
METAP1	4	1	1	1	20165	0	0.72888	6.8698e-09	2.4516e-07	6.8e-05	34	4	0.72888
