id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
SLC35B2	4	1	1	1	20196	0	1.0996	2.0624e-15	2.4512e-07	0.000198	1	4	1.0996
EXT1	4	1	1	1	20195	0	0.75334	4.4192e-14	2.4512e-07	0.000198	2	4	0.75334
EXTL3	4	1	1	1	20194	0	0.63731	6.1133e-14	2.4512e-07	0.000198	3	4	0.63731
EXT2	4	1	1	1	20192	0	0.62525	4.6177e-11	2.4512e-07	0.000198	4	4	0.62525
TMEM41B	4	0.72584	0.74465	1	14711	1	0.80198	5.4553e-11	2.4512e-07	0.000198	5	3	0.80198
VMP1	4	1	1	1	20193	0	0.60956	1.6981e-10	2.4512e-07	0.000198	6	4	0.60956
DOHH	4	1	1	1	20178	0	0.48768	1.5534e-09	2.4512e-07	0.000198	7	4	0.48768
GPX4	4	1	1	1	20191	0	0.43751	2.058e-09	2.4512e-07	0.000198	8	4	0.43751
TAF1C	4	1	1	1	20190	0	0.43117	3.2923e-09	2.4512e-07	0.000198	9	4	0.43117
TPI1	4	1	1	1	20189	0	0.64174	4.835e-09	2.4512e-07	0.000198	10	4	0.64174
B4GALT7	4	0.99984	0.99984	1	20067	0	0.72519	5.9682e-09	2.4512e-07	0.000198	11	4	0.72519
SEC23B	4	1	1	1	20188	0	0.50946	7.2112e-09	2.4512e-07	0.000198	12	4	0.50946
HS6ST1	4	0.99555	0.99552	1	19762	0	0.50456	8.4807e-09	2.4512e-07	0.000198	13	4	0.50456
RPP21	4	1	1	1	20168	0	0.45747	1.2922e-08	2.4512e-07	0.000198	14	4	0.45747
ARMC7	4	1	1	1	20187	0	0.62667	1.6199e-08	2.4512e-07	0.000198	15	4	0.62667
CIAO1	4	0.99438	0.9944	1	19717	0	0.44547	2.7615e-08	2.4512e-07	0.000198	16	4	0.44547
ANAPC11	4	1	1	1	20175	0	0.57503	2.9333e-08	2.4512e-07	0.000198	17	4	0.57503
SRA1	4	1	1	1	20186	0	0.32785	3.1378e-08	2.4512e-07	0.000198	18	4	0.32785
NAA10	4	1	1	1	20185	0	0.40829	3.5863e-08	2.4512e-07	0.000198	19	4	0.40829
ZRSR2	4	1	1	1	20184	0	0.37606	7.8861e-08	2.4512e-07	0.000198	20	4	0.37606
POLR3K	4	1	1	1	20183	0	0.47229	8.132e-08	2.4512e-07	0.000198	21	4	0.47229
ARPC4	4	1	1	1	20182	0	0.36483	8.3075e-08	2.4512e-07	0.000198	22	4	0.36483
GEMIN8	4	1	1	1	20181	0	0.28818	9.1194e-08	2.4512e-07	0.000198	23	4	0.28818
PPCS	4	0.99978	0.99977	1	20057	0	0.43355	9.9916e-08	2.4512e-07	0.000198	24	4	0.43355
COASY	4	1	1	1	20180	0	0.42571	1.0224e-07	2.4512e-07	0.000198	25	4	0.42571
NELFB	4	1	1	1	20179	0	0.36091	1.1684e-07	7.3537e-07	0.000512	26	4	0.36091
NHP2	4	1	1	1	20177	0	0.4428	1.3332e-07	7.3537e-07	0.000512	27	4	0.4428
FDX2	4	0.99989	0.99989	1	20081	0	0.78963	1.7391e-07	7.3537e-07	0.000512	28	4	0.78963
PGK1	4	0.99995	0.99995	1	20107	0	0.45635	1.8967e-07	7.3537e-07	0.000512	29	4	0.45635
ZCRB1	4	0.99996	0.99996	1	20114	0	0.49371	2.2854e-07	1.2256e-06	0.000688	30	4	0.49371
TELO2	4	1	1	1	20176	0	0.34859	2.3376e-07	1.2256e-06	0.000688	31	4	0.34859
RECQL4	4	1	1	1	20158	0	0.47139	2.4498e-07	1.2256e-06	0.000688	32	4	0.47139
DHPS	4	1	1	1	20174	0	0.57906	2.8597e-07	1.2256e-06	0.000688	33	4	0.57906
EIF6	4	1	1	1	20173	0	0.54833	2.9502e-07	1.2256e-06	0.000688	34	4	0.54833
LOC102724159	3	1	1	1	20172	0	0.83716	3.3642e-07	1.2256e-06	0.000688	35	3	0.83716
CIAO3	4	1	1	1	20171	0	0.34874	3.5391e-07	1.2256e-06	0.000688	36	4	0.34874
B3GALT6	4	0.9149	0.91487	1	17956	0	0.27457	3.8044e-07	1.7159e-06	0.000788	37	2	0.27457
LUC7L3	4	0.9995	0.99949	1	19997	0	0.43127	3.9238e-07	1.7159e-06	0.000788	38	4	0.43127
TRMT112	4	1	1	1	20165	0	0.49523	3.9568e-07	1.7159e-06	0.000788	39	4	0.49523
TAZ	4	1	1	1	20170	0	0.35083	4.019e-07	1.7159e-06	0.000788	40	4	0.35083
PABPC1	4	1	1	1	20169	0	0.31693	4.1189e-07	1.7159e-06	0.000788	41	4	0.31693
B3GAT3	4	0.95264	0.95257	1	18711	0	0.50838	4.367e-07	1.7159e-06	0.000788	42	3	0.50838
HSCB	4	0.69367	0.7234	1	14300	1	0.47312	4.438e-07	1.7159e-06	0.000788	43	3	0.47312
COG4	4	1	1	1	20167	0	0.42484	4.6741e-07	1.7159e-06	0.000788	44	4	0.42484
RPUSD4	4	1	1	1	20166	0	0.25909	5.1334e-07	2.2061e-06	0.00099	45	4	0.25909
CCDC84	4	0.99999	0.99999	1	20141	0	0.54137	5.5144e-07	2.6963e-06	0.001159	46	4	0.54137
HUS1	4	0.99988	0.99988	1	20078	0	0.38254	6.3359e-07	2.6963e-06	0.001159	47	4	0.38254
NDST1	4	0.9995	0.99949	1	19998	0	0.321	7.6891e-07	3.1866e-06	0.001287	48	4	0.321
