id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
DPP4	4	1	1	1	20195	0	2.1992	4.1875e-18	2.4513e-07	0.000225	1	4	2.1992
HNF1A	4	1	1	1	20194	0	0.70362	1.5959e-14	2.4513e-07	0.000225	2	4	0.70362
HES1	4	1	1	1	20193	0	0.63337	6.144e-13	2.4513e-07	0.000225	3	4	0.63337
VMP1	4	1	1	1	20192	0	0.83248	6.8936e-13	2.4513e-07	0.000225	4	4	0.83248
AP2S1	4	1	1	1	20191	0	0.54668	1.59e-11	2.4513e-07	0.000225	5	4	0.54668
EIF4E	4	1	1	1	20190	0	0.48377	7.2156e-11	2.4513e-07	0.000225	6	4	0.48377
TMEM41B	4	1	1	1	20189	0	0.72981	1.9065e-10	2.4513e-07	0.000225	7	4	0.72981
AP2M1	4	1	1	1	20188	0	0.5627	5.9111e-10	2.4513e-07	0.000225	8	4	0.5627
NUS1	4	1	1	1	20186	0	0.65588	7.6071e-10	2.4513e-07	0.000225	9	4	0.65588
PTBP1	4	0.99098	0.99094	1	19837	0	0.53695	9.2514e-10	2.4513e-07	0.000225	10	4	0.53695
RPS4X	4	1	1	1	20187	0	0.65168	3.3471e-09	2.4513e-07	0.000225	11	4	0.65168
RPS8	4	1	1	1	20185	0	0.69767	1.0678e-08	2.4513e-07	0.000225	12	4	0.69767
MAPK1	4	1	1	1	20184	0	0.51526	1.1924e-08	2.4513e-07	0.000225	13	4	0.51526
SMARCC1	4	1	1	1	20183	0	0.48949	1.2403e-08	2.4513e-07	0.000225	14	4	0.48949
SMARCA4	4	1	1	1	20182	0	0.33569	3.2084e-08	2.4513e-07	0.000225	15	4	0.33569
RPS16	4	0.99997	0.99997	1	20149	0	0.4439	4.5029e-08	2.4513e-07	0.000225	16	4	0.4439
SIN3A	4	0.99999	0.99999	1	20159	0	0.38787	5.9595e-08	2.4513e-07	0.000225	17	4	0.38787
RACK1	4	1	1	1	20170	0	0.47559	6.149e-08	2.4513e-07	0.000225	18	4	0.47559
RPS18	4	1	1	1	20181	0	0.33278	9.31e-08	2.4513e-07	0.000225	19	4	0.33278
MED12	4	0.99732	0.99731	1	20005	0	0.54544	1.1254e-07	2.4513e-07	0.000225	20	4	0.54544
DPM2	4	1	1	1	20180	0	0.35487	1.1653e-07	2.4513e-07	0.000225	21	4	0.35487
TNPO3	4	1	1	1	20175	0	0.40508	2.222e-07	2.4513e-07	0.000225	22	4	0.40508
RPS28	4	0.99992	0.99993	1	20142	0	0.44714	2.7039e-07	7.354e-07	0.000571	23	4	0.44714
XPO1	3	1	1	1	20179	0	0.64703	2.7069e-07	7.354e-07	0.000571	24	3	0.64703
ALG5	4	1	1	1	20178	0	0.29556	3.6328e-07	7.354e-07	0.000571	25	4	0.29556
KRAS	4	1	1	1	20177	0	0.47308	3.9162e-07	7.354e-07	0.000571	26	4	0.47308
RPS14	3	1	1	1	20176	0	0.65945	6.596e-07	2.2062e-06	0.001591	27	3	0.65945
VPS33A	4	0.9791	0.97909	1	19565	0	0.31448	8.1794e-07	2.2062e-06	0.001591	28	3	0.31448
EEF2	4	0.96925	0.96909	1	19359	0	0.4848	9.5958e-07	2.6965e-06	0.001878	29	3	0.4848
PLAC8	4	0.99192	0.99191	1	19866	0	0.36806	1.0268e-06	3.1868e-06	0.002145	30	4	0.36806
NIPBL	4	1	1	1	20174	0	0.48326	1.0944e-06	3.677e-06	0.00225	31	4	0.48326
SMARCD1	4	1	1	1	20173	0	0.2744	1.128e-06	3.677e-06	0.00225	32	4	0.2744
RPS3A	3	1	1	1	20172	0	0.55274	1.2957e-06	5.1478e-06	0.002666	33	3	0.55274
ABCE1	4	0.99799	0.998	1	20029	0	0.45047	1.4253e-06	3.677e-06	0.00225	34	4	0.45047
DDX59	4	1	1	1	20171	0	0.31158	1.574e-06	4.1673e-06	0.002405	35	4	0.31158
ATP2B1	4	0.99986	0.99987	1	20135	0	0.37136	1.6973e-06	4.1673e-06	0.002405	36	4	0.37136
HUWE1	4	1	1	1	20169	0	0.39861	1.8893e-06	4.6576e-06	0.002475	37	4	0.39861
CERS1	4	1	1	1	20168	0	0.27197	1.948e-06	4.6576e-06	0.002475	38	4	0.27197
RPS20	4	0.99955	0.99957	1	20115	0	0.42709	2.131e-06	4.6576e-06	0.002475	39	4	0.42709
MAU2	4	0.84386	0.84316	1	16798	0	0.33831	2.7394e-06	7.5992e-06	0.003837	40	3	0.33831
RPS15A	4	0.98873	0.98872	1	19786	0	0.52431	2.812e-06	8.0894e-06	0.003985	41	4	0.52431
RPS6	4	0.99968	0.9997	1	20123	0	0.46157	3.1087e-06	9.07e-06	0.00426	42	4	0.46157
GTPBP3	4	1	1	1	20167	0	0.21361	3.22e-06	9.07e-06	0.00426	43	4	0.21361
U2AF1	4	1	1	1	20166	0	0.46266	3.5292e-06	9.5603e-06	0.004388	44	4	0.46266
SNRNP35	4	0.9973	0.99729	1	20002	0	0.27418	4.0285e-06	1.0541e-05	0.004628	45	4	0.27418
CCDC84	4	1	1	1	20165	0	0.40645	4.0622e-06	1.0541e-05	0.004628	46	4	0.40645
