id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
SLC35A1	4	1	1	1	20194	0	1.688	6.8569e-11	2.4515e-07	0.00099	1	4	1.688
ATP6V1D	4	0.99999	0.99999	1	20186	0	1.7016	2.7794e-09	2.4515e-07	0.00099	2	4	1.7016
ATP6V0C	4	1	1	1	20193	0	1.3556	4.9482e-09	2.4515e-07	0.00099	3	4	1.3556
ATP6V1E1	4	1	1	1	20192	0	1.5543	3.1063e-08	2.4515e-07	0.00099	4	4	1.5543
WDR7	4	0.92613	0.92624	1	18634	0	1.347	3.3756e-08	2.4515e-07	0.00099	5	3	1.347
COG8	4	0.99675	0.99676	1	20089	0	1.4903	2.1095e-07	1.2257e-06	0.004125	6	4	1.4903
ATP6V1H	4	0.33241	0.48113	1	9412	1	1.2822	7.5861e-07	3.1869e-06	0.008045	7	3	1.2822
ATP6AP1	4	1	1	1	20191	0	1.4405	9.1668e-07	3.1869e-06	0.008045	8	4	1.4405
COG3	4	0.99999	0.99998	1	20184	0	1.3784	1.4832e-06	4.6578e-06	0.010451	9	4	1.3784
ATP6V0B	4	1	1	1	20190	0	1.4861	2.5572e-06	9.0704e-06	0.018317	10	4	1.4861
ST3GAL4	4	1	1	1	20189	0	1.1317	3.6235e-06	1.3973e-05	0.025653	11	4	1.1317
METTL3	4	0.99999	0.99999	1	20188	0	1.0773	5.2406e-06	2.0837e-05	0.03313	12	4	1.0773
VMA21	4	0.99982	0.99982	1	20176	0	1.3148	5.3917e-06	2.1328e-05	0.03313	13	4	1.3148
RIC1	4	0.99999	0.99999	1	20187	0	1.1002	6.6164e-06	2.6721e-05	0.038543	14	4	1.1002
CCDC115	4	0.99995	0.99995	1	20181	0	1.3745	7.0425e-06	2.9172e-05	0.039274	15	4	1.3745
ARGLU1	4	0.98929	0.98928	1	19933	0	1.3432	7.4979e-06	3.1134e-05	0.039295	16	4	1.3432
RABGGTB	4	0.99981	0.99981	1	20175	0	1.3796	9.0253e-06	3.5546e-05	0.040979	17	4	1.3796
METTL14	4	0.99999	0.99999	1	20185	0	1.053	9.3139e-06	3.6527e-05	0.040979	18	4	1.053
ZCRB1	4	0.99729	0.99727	1	20101	0	1.3886	1.0741e-05	4.094e-05	0.043512	19	4	1.3886
ATP6AP2	4	0.99997	0.99996	1	20182	0	1.2215	1.1441e-05	4.4372e-05	0.044802	20	4	1.2215
ELOF1	4	0.99998	0.99998	1	20183	0	0.99515	1.7612e-05	7.1338e-05	0.0686	21	4	0.99515
DDOST	4	0.76917	0.78021	1	15629	1	1.2458	2.2315e-05	9.2911e-05	0.081683	22	3	1.2458
ATP6V1C1	4	0.2502	0.40012	1	7800	1	1.1785	2.2753e-05	9.3891e-05	0.081683	23	3	1.1785
HNF1B	4	0.51404	0.64057	1	12555	1	1.4316	2.4102e-05	9.9284e-05	0.081683	24	3	1.4316
ATP6V1G1	4	0.99036	0.99035	1	19956	0	1.148	2.4719e-05	0.00010223	0.081683	25	4	1.148
ZNF670	4	0.17616	0.32706	0.999272	6415	1	0.49784	2.5866e-05	0.00010517	0.081683	26	3	0.49784
FBXW7	4	0.96578	0.96569	1	19446	0	1.3806	3.862e-05	0.00014978	0.112028	27	3	1.3806
MATR3	4	0.72156	0.74754	1	14940	1	1.2442	5.265e-05	0.00020617	0.148692	28	3	1.2442
COG4	4	0.99994	0.99994	1	20180	0	1.3499	5.6159e-05	0.00021892	0.152441	29	4	1.3499
BIVM	5	0.99684	0.99682	1	20091	0	1.0055	7.3667e-05	0.00033315	0.217023	30	5	1.0055
CACNA2D1	4	0.83698	0.837	1	16830	1	0.96903	7.8581e-05	0.00031697	0.213366	31	3	0.96903
GTSE1	4	0.87049	0.87026	1	17499	0	1.1545	8.8963e-05	0.00035179	0.221999	32	3	1.1545
ALG3	4	0.99696	0.99697	1	20093	0	1.0782	9.4448e-05	0.00037581	0.229973	33	4	1.0782
POLR3H	4	0.9999	0.9999	1	20179	0	1.5023	9.7713e-05	0.00039248	0.23311	34	4	1.5023
FKBP15	4	0.51149	0.63948	1	12521	1	0.82362	0.00012932	0.00051652	0.29802	35	3	0.82362
NUDT21	4	0.9994	0.99941	1	20162	0	1.407	0.00014564	0.00058222	0.326064	36	4	1.407
RGL4	4	0.97263	0.97266	1	19581	0	1.0005	0.00015046	0.00059742	0.326064	37	3	1.0005
FAM3C	4	0.99984	0.99984	1	20178	0	1.0402	0.00015522	0.00061458	0.326602	38	4	1.0402
JUNB	4	0.99984	0.99983	1	20177	0	1.0971	0.0001615	0.00063616	0.329398	39	4	1.0971
HNRNPA0	4	0.99832	0.99831	1	20130	0	1.1652	0.00017811	0.00069107	0.338678	40	4	1.1652
RBPMS2	4	0.11247	0.23768	0.994491	4618	3	-0.35273	0.00018105	0.00069842	0.338678	41	1	-0.35273
NSRP1	4	0.92366	0.9238	1	18579	0	1.1113	0.00018332	0.00070578	0.338678	42	3	1.1113
VPS52	4	0.87646	0.87631	1	17631	0	0.96581	0.00019184	0.00073323	0.338678	43	3	0.96581
RPRD1B	4	0.9923	0.9923	1	19997	0	1.0833	0.00020072	0.00076903	0.338678	44	4	1.0833
TRAPPC11	4	0.98278	0.98273	1	19782	0	1.1414	0.00020121	0.00077148	0.338678	45	4	1.1414
FLT1	4	0.88992	0.8898	1	17899	0	1.0342	0.00020987	0.0008058	0.346219	46	3	1.0342
MED31	4	0.73776	0.75812	1	15172	1	0.97741	0.00023421	0.00090386	0.372904	47	3	0.97741
ZKSCAN2	4	0.73571	0.75672	1	15139	1	0.69116	0.00023458	0.00090484	0.372904	48	2	0.69116
SLC34A2	4	0.74366	0.76217	1	15256	1	0.79847	0.00025023	0.00095485	0.375762	49	2	0.79847
CLCN5	4	0.99975	0.99974	1	20174	0	0.92626	0.00025236	0.00096514	0.375762	50	4	0.92626
GAS2L1	4	0.23964	0.38969	1	7599	2	0.59524	0.00025322	0.00096759	0.375762	51	2	0.59524
KLF10	4	0.99973	0.99972	1	20173	0	0.78013	0.00026556	0.0010107	0.385111	52	4	0.78013
PIGV	4	0.99969	0.99967	1	20172	0	0.74931	0.00031495	0.0011921	0.44582	53	4	0.74931
YWHAH	4	0.95941	0.95933	1	19327	0	0.46736	0.00033622	0.0012642	0.45854	54	3	0.46736
UNC50	4	0.89809	0.89797	1	18061	0	0.99165	0.00033859	0.0012716	0.45854	55	3	0.99165
PRB1	5	0.37167	0.5511	1	10172	2	0.12433	0.00035561	0.0016432	0.50051	56	2	0.12433
RACK1	4	0.9992	0.9992	1	20157	0	1.1796	0.00036038	0.0013539	0.479677	57	4	1.1796
AKAP12	4	0.26784	0.41745	1	8148	1	-0.16665	0.00038794	0.0014569	0.491259	58	1	-0.16665
ATP6V1A	4	0.98731	0.98726	1	19878	0	0.9932	0.00038843	0.0014598	0.491259	59	4	0.9932
GCM2	4	0.9996	0.99958	1	20171	0	0.77841	0.00039937	0.0014976	0.491259	60	4	0.77841
PARP3	4	0.99959	0.99958	1	20170	0	1.0135	0.00040554	0.0015199	0.491259	61	4	1.0135
RNASEL	4	0.23284	0.38301	1	7485	2	0.50181	0.0004148	0.0015515	0.491259	62	2	0.50181
SCAF1	4	0.99958	0.99957	1	20169	0	1.1343	0.00041614	0.0015569	0.491259	63	4	1.1343
FGD5	4	0.11783	0.24686	0.994491	4813	3	-0.26021	0.00043965	0.0016373	0.50051	64	1	-0.26021
TMEM204	4	0.97141	0.97141	1	19551	0	0.5924	0.00044863	0.001677	0.50051	65	3	0.5924
TMEM135	4	0.99955	0.99954	1	20168	0	0.81843	0.00044982	0.0016854	0.50051	66	4	0.81843
TM9SF3	4	0.99953	0.99951	1	20167	0	0.72056	0.00047096	0.0017673	0.517219	67	4	0.72056
FHIT	4	0.99949	0.99948	1	20166	0	0.58158	0.00051104	0.0019016	0.544345	68	4	0.58158
NUP85	4	0.95918	0.95911	1	19319	0	0.7659	0.00054308	0.0020173	0.546938	69	3	0.7659
UBE2H	4	0.81884	0.82034	1	16487	1	1.0475	0.00055083	0.0020477	0.546938	70	3	1.0475
APOL2	4	0.99944	0.99944	1	20165	0	1.0031	0.00055775	0.0020781	0.546938	71	4	1.0031
PDK1	4	0.99944	0.99944	1	20164	0	0.67294	0.00055813	0.0020791	0.546938	72	4	0.67294
TRAPPC10	4	0.47348	0.62094	1	12114	1	0.88576	0.00056998	0.002134	0.546938	73	3	0.88576
RADX	4	0.99942	0.99943	1	20163	0	0.91263	0.00057542	0.0021517	0.546938	74	4	0.91263
SLC6A19	4	0.098648	0.2134	0.994491	4162	2	0.16646	0.0005864	0.002184	0.546938	75	2	0.16646
TMPRSS11F	4	0.75787	0.772	1	15468	1	1.0502	0.00058661	0.0021845	0.546938	76	3	1.0502
NUDT18	4	0.9994	0.9994	1	20161	0	0.75208	0.00059863	0.0022267	0.548358	77	4	0.75208
HOXD9	4	0.95047	0.95041	1	19163	0	0.65555	0.00062641	0.0023208	0.550236	78	3	0.65555
WTAP	4	0.95051	0.95045	1	19164	0	0.92439	0.00063091	0.0023375	0.550236	79	3	0.92439
VSIG4	4	0.14737	0.29664	0.997479	5815	2	0.045872	0.00063111	0.002338	0.550236	80	2	0.045872
