id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
ACE2	4	1	1	1	20190	0	2.2169	4.2075e-18	2.452e-07	4.9e-05	1	4	2.2169
APC	4	1	1	1	20189	0	1.7877	2.0782e-15	2.452e-07	4.9e-05	2	4	1.7877
KEAP1	4	1	1	1	20188	0	1.2038	2.4263e-14	2.452e-07	4.9e-05	3	4	1.2038
DYRK1A	4	1	1	1	20187	0	1.1961	3.065e-13	2.452e-07	4.9e-05	4	4	1.1961
RPP21	4	1	1	1	20186	0	1.5422	1.5697e-12	2.452e-07	4.9e-05	5	4	1.5422
HSD17B12	4	1	1	1	20185	0	1.7781	2.8603e-12	2.452e-07	4.9e-05	6	4	1.7781
FZR1	4	1	1	1	20184	0	1.0542	3.2175e-12	2.452e-07	4.9e-05	7	4	1.0542
PCBD1	4	1	1	1	20183	0	0.96618	7.1799e-12	2.452e-07	4.9e-05	8	4	0.96618
PLAC8	4	0.9975	0.99748	1	19615	0	1.6588	7.4303e-12	2.452e-07	4.9e-05	9	4	1.6588
SRP9	4	1	1	1	20182	0	1.4816	1.3272e-11	2.452e-07	4.9e-05	10	4	1.4816
GPR89A	8	1	1	1	20173	0	0.49679	3.0828e-11	2.452e-07	4.9e-05	11	8	0.49679
SBDS	4	1	1	1	20181	0	1.7849	3.6926e-11	2.452e-07	4.9e-05	12	4	1.7849
RTCB	4	1	1	1	20180	0	1.3262	6.8719e-11	2.452e-07	4.9e-05	13	4	1.3262
ASCC3	4	1	1	1	20179	0	1.5386	9.3802e-11	2.452e-07	4.9e-05	14	4	1.5386
SUDS3	4	1	1	1	20178	0	1.2766	1.3517e-10	2.452e-07	4.9e-05	15	4	1.2766
PIK3C3	4	1	1	1	20177	0	1.1509	1.4572e-10	2.452e-07	4.9e-05	16	4	1.1509
SAP130	4	1	1	1	20176	0	1.028	2.0524e-10	2.452e-07	4.9e-05	17	4	1.028
EP300	4	1	1	1	20175	0	1.1419	2.226e-10	2.452e-07	4.9e-05	18	4	1.1419
TXNRD1	4	1	1	1	20174	0	1.3046	2.256e-10	2.452e-07	4.9e-05	19	4	1.3046
BRD2	4	1	1	1	20172	0	0.97474	2.674e-10	2.452e-07	4.9e-05	20	4	0.97474
HNF1B	4	1	1	1	20171	0	1.3005	3.386e-10	2.452e-07	4.9e-05	21	4	1.3005
MED26	4	1	1	1	20170	0	1.0736	3.7249e-10	2.452e-07	4.9e-05	22	4	1.0736
SMARCA4	4	1	1	1	20169	0	1.2013	3.8134e-10	2.452e-07	4.9e-05	23	4	1.2013
ACVR2A	4	1	1	1	20168	0	1.072	4.0886e-10	2.452e-07	4.9e-05	24	4	1.072
GTF3C4	4	1	1	1	20167	0	1.546	4.4783e-10	2.452e-07	4.9e-05	25	4	1.546
ZPR1	4	1	1	1	20166	0	1.3335	5.1143e-10	2.452e-07	4.9e-05	26	4	1.3335
HNF1A	4	1	1	1	20165	0	1.1646	7.2138e-10	2.452e-07	4.9e-05	27	4	1.1646
CHURC1-FNTB	6	1	1	1	20164	0	0.70134	7.4447e-10	2.452e-07	4.9e-05	28	6	0.70134
METAP2	4	1	1	1	20163	0	1.2587	9.4527e-10	2.452e-07	4.9e-05	29	4	1.2587
MBTPS1	4	1	1	1	20162	0	0.77237	1.0179e-09	2.452e-07	4.9e-05	30	4	0.77237
SMARCB1	4	1	1	1	20161	0	1.2868	1.0653e-09	2.452e-07	4.9e-05	31	4	1.2868
CDX2	4	1	1	1	20160	0	0.78153	1.0847e-09	2.452e-07	4.9e-05	32	4	0.78153
SMAD4	4	1	1	1	20159	0	1.0602	1.1044e-09	2.452e-07	4.9e-05	33	4	1.0602
BMPR1A	4	1	1	1	20158	0	0.96027	1.1244e-09	2.452e-07	4.9e-05	34	4	0.96027
HAVCR1	4	1	1	1	20157	0	0.74872	1.1964e-09	2.452e-07	4.9e-05	35	4	0.74872
MAP2K7	4	1	1	1	20156	0	0.88866	1.4213e-09	2.452e-07	4.9e-05	36	4	0.88866
SCAP	4	1	1	1	20155	0	0.92879	1.4946e-09	2.452e-07	4.9e-05	37	4	0.92879
SETDB1	4	1	1	1	20154	0	0.97397	1.8894e-09	2.452e-07	4.9e-05	38	4	0.97397
EXOC1	4	1	1	1	20153	0	1.2939	2.122e-09	2.452e-07	4.9e-05	39	4	1.2939
CTNNBIP1	4	1	1	1	20126	0	0.95847	2.2178e-09	2.452e-07	4.9e-05	40	4	0.95847
HNF4A	4	1	1	1	20152	0	1.2955	2.9082e-09	2.452e-07	4.9e-05	41	4	1.2955
ELMSAN1	4	1	1	1	20151	0	0.94429	5.4998e-09	2.452e-07	4.9e-05	42	4	0.94429
SENP1	4	1	1	1	20150	0	0.70343	5.5996e-09	2.452e-07	4.9e-05	43	4	0.70343
USP34	4	1	1	1	20149	0	0.67228	6.1553e-09	2.452e-07	4.9e-05	44	4	0.67228
CAND1	4	1	1	1	20148	0	0.82454	6.3004e-09	2.452e-07	4.9e-05	45	4	0.82454
SRPRB	4	1	1	1	20147	0	1.4246	7.0252e-09	2.452e-07	4.9e-05	46	4	1.4246
CDIPT	4	1	1	1	20146	0	1.0326	7.3896e-09	2.452e-07	4.9e-05	47	4	1.0326
GTF3C5	4	1	1	1	20145	0	1.0664	7.8972e-09	2.452e-07	4.9e-05	48	4	1.0664
PI4KB	4	1	1	1	20144	0	0.66698	8.3851e-09	2.452e-07	4.9e-05	49	4	0.66698
PDCL	4	1	1	1	20143	0	0.74018	8.4305e-09	2.452e-07	4.9e-05	50	4	0.74018
PYROXD1	4	1	1	1	20142	0	1.018	9.5277e-09	2.452e-07	4.9e-05	51	4	1.018
POLR3K	4	1	1	1	20141	0	1.3308	1.0246e-08	2.452e-07	4.9e-05	52	4	1.3308
TMEM199	4	1	1	1	20140	0	1.2775	1.1228e-08	2.452e-07	4.9e-05	53	4	1.2775
ATP6V0C	4	1	1	1	20139	0	1.4584	1.1745e-08	2.452e-07	4.9e-05	54	4	1.4584
TBC1D3	30	1	1	1	20078	0	0.29401	1.2002e-08	2.452e-07	4.9e-05	55	25	0.29401
HELZ	4	1	1	1	20138	0	0.93686	1.3084e-08	2.452e-07	4.9e-05	56	4	0.93686
ARNT	4	1	1	1	20137	0	1.1364	1.4397e-08	2.452e-07	4.9e-05	57	4	1.1364
DHPS	4	1	1	1	20136	0	1.0285	1.4949e-08	2.452e-07	4.9e-05	58	4	1.0285
ATP6V1C1	4	1	1	1	20135	0	1.0473	1.5806e-08	2.452e-07	4.9e-05	59	4	1.0473
MEAF6	4	1	1	1	20134	0	0.78879	1.6776e-08	2.452e-07	4.9e-05	60	4	0.78879
MBTPS2	4	1	1	1	20133	0	0.74662	1.7711e-08	2.452e-07	4.9e-05	61	4	0.74662
MAPK14	4	1	1	1	20132	0	0.4842	1.787e-08	2.452e-07	4.9e-05	62	4	0.4842
DGAT2	4	1	1	1	20131	0	0.67095	1.885e-08	2.452e-07	4.9e-05	63	4	0.67095
TAF13	4	1	1	1	20130	0	0.73651	1.9525e-08	2.452e-07	4.9e-05	64	4	0.73651
ATF7IP	4	1	1	1	20129	0	0.65165	2.1292e-08	2.452e-07	4.9e-05	65	4	0.65165
VPS29	4	1	1	1	20128	0	0.9496	2.2982e-08	2.452e-07	4.9e-05	66	4	0.9496
DNTTIP1	4	1	1	1	20127	0	0.77039	2.3765e-08	2.452e-07	4.9e-05	67	4	0.77039
