#Mouse Gene	Human Gene	Source
Creld1	CRELD1	MGI, PanEnsembl, HomoloGene
Ccdc167	CCDC167	MGI, PanEnsembl, HomoloGene
Strn	STRN	MGI, PanEnsembl, HomoloGene
Eif2b1	EIF2B1	MGI, PanEnsembl, HomoloGene
Ccr4	CCR4	MGI, PanEnsembl, HomoloGene
Enkur	ENKUR	MGI, PanEnsembl, HomoloGene
Ubn2	UBN2	MGI, PanEnsembl, HomoloGene
H2bc6	H2BC7	MGI
Hist1h2be	H2BC7	HomoloGene
Rbks	RBKS	MGI, PanEnsembl, HomoloGene
Rab4a	RAB4A	MGI, PanEnsembl, HomoloGene
Zfp292	ZNF292	MGI, PanEnsembl, HomoloGene
Avpr1b	AVPR1B	MGI, PanEnsembl, HomoloGene
Gpr18	GPR18	MGI, PanEnsembl, HomoloGene
Fkbp5	FKBP5	MGI, PanEnsembl, HomoloGene
Tbc1d7	TBC1D7	MGI, PanEnsembl, HomoloGene
Olfr140	OR4S1	PanEnsembl
Edem3	EDEM3	MGI, PanEnsembl, HomoloGene
Abt1	ABT1	MGI, PanEnsembl, HomoloGene
Suco	SUCO	MGI, PanEnsembl, HomoloGene
Pvalb	PVALB	MGI, PanEnsembl, HomoloGene
Rps3a1	RPS3A	PanEnsembl
Rps3a2	RPS3A	PanEnsembl
Rps3a3	RPS3A	PanEnsembl
Olfr1408	OR10T2	PanEnsembl
Aldh6a1	ALDH6A1	MGI, PanEnsembl, HomoloGene
Slc25a24	SLC25A24	MGI, PanEnsembl, HomoloGene
Slc25a13	SLC25A13	MGI, PanEnsembl, HomoloGene
Llph-ps2	LLPH	MGI
Llph	LLPH	PanEnsembl, HomoloGene
Actr10	ACTR10	MGI, PanEnsembl, HomoloGene
Pgk1	PGK1	MGI, PanEnsembl, HomoloGene
Pgk1-rs7	PGK1	PanEnsembl
Hoxc11	HOXC11	MGI, PanEnsembl, HomoloGene
Bcas2	BCAS2	MGI, PanEnsembl, HomoloGene
Ciapin1	CIAPIN1	MGI, PanEnsembl, HomoloGene
Cyp3a13	CYP3A4	PanEnsembl
Cyp3a11	CYP3A4	PanEnsembl
Cyp3a25	CYP3A4	PanEnsembl
Cyp3a41a	CYP3A4	PanEnsembl
Cyp3a41b	CYP3A4	PanEnsembl
Cyp3a16	CYP3A4	PanEnsembl
Cyp3a44	CYP3A4	PanEnsembl
Cyp3a59	CYP3A4	PanEnsembl
Cyp3a57	CYP3A4	PanEnsembl
Mfsd8	MFSD8	MGI, PanEnsembl, HomoloGene
Zfp386	ZNF506	PanEnsembl
Kif3b	KIF3B	MGI, PanEnsembl, HomoloGene
Eef1e1	EEF1E1	MGI, PanEnsembl, HomoloGene
Eml1	EML1	MGI, PanEnsembl, HomoloGene
Cyp7b1	CYP7B1	MGI, PanEnsembl, HomoloGene
Syt9	SYT9	MGI, PanEnsembl, HomoloGene
Ttll2	TTLL2	MGI, PanEnsembl, HomoloGene
Col4a5	COL4A5	MGI, PanEnsembl, HomoloGene
Cep44	CEP44	MGI, PanEnsembl, HomoloGene
Cog5	COG5	MGI, PanEnsembl, HomoloGene
Cxxc4	CXXC4	MGI, PanEnsembl, HomoloGene
Mettl17	METTL17	MGI, PanEnsembl, HomoloGene
Eef1e1	EEF1E1-BLOC1S5	PanEnsembl
Il17f	IL17F	MGI, PanEnsembl, HomoloGene
Slc2a3	SLC2A14	PanEnsembl
Etaa1	ETAA1	MGI, PanEnsembl, HomoloGene
Mfn1	MFN1	MGI, PanEnsembl, HomoloGene
Fam162a	FAM162A	MGI, PanEnsembl, HomoloGene
Slc17a8	SLC17A8	MGI, PanEnsembl, HomoloGene
Rps20	RPS20	MGI, PanEnsembl, HomoloGene
Ewsr1	EWSR1	PanEnsembl
Rbm28	RBM28	MGI, PanEnsembl, HomoloGene
Tshz2	TSHZ2	MGI, PanEnsembl, HomoloGene
Trpc5	TRPC5	MGI, PanEnsembl, HomoloGene
Tigd2	TIGD2	MGI, PanEnsembl, HomoloGene
Rad50	RAD50	MGI, PanEnsembl, HomoloGene
C2cd2	C2CD2	MGI, PanEnsembl, HomoloGene
Rpl22	RPL22	MGI, PanEnsembl, HomoloGene
Ccdc172	CCDC172	MGI, PanEnsembl, HomoloGene
Gak	GAK	MGI, PanEnsembl, HomoloGene
Cep162	CEP162	MGI
4922501C03Rik	CEP162	PanEnsembl, HomoloGene
Pik3cb	PIK3CB	MGI, PanEnsembl, HomoloGene
Elp3	ELP3	MGI, PanEnsembl, HomoloGene
Ncapg	NCAPG	MGI, PanEnsembl, HomoloGene
Ccdc175	CCDC175	MGI, PanEnsembl, HomoloGene
Man2a1	MAN2A1	MGI, PanEnsembl, HomoloGene
Rnf217	RNF217	MGI, PanEnsembl, HomoloGene
Cenpc1	CENPC	MGI, PanEnsembl, HomoloGene
Gh	CSH2	PanEnsembl
Cyp3a13	CYP3A7	MGI, PanEnsembl, HomoloGene
Cyp3a11	CYP3A7	PanEnsembl
Cyp3a41b	CYP3A7	PanEnsembl
Cyp3a41a	CYP3A7	PanEnsembl
Cyp3a16	CYP3A7	PanEnsembl
Cyp3a44	CYP3A7	PanEnsembl
Cyp3a25	CYP3A7	PanEnsembl
Cyp3a57	CYP3A7	PanEnsembl
Cyp3a59	CYP3A7	PanEnsembl
Ndufa12	NDUFA12	MGI, PanEnsembl, HomoloGene
Olfr1423	OR4D11	MGI, PanEnsembl, HomoloGene, HORDE
Olfr1422-ps1	OR4D11	HORDE
Olfr1427	OR4D11	HORDE
Batf2	BATF2	MGI, PanEnsembl, HomoloGene
Stap1	STAP1	MGI, PanEnsembl, HomoloGene
Cep152	CEP152	MGI, PanEnsembl, HomoloGene
Fam217a	FAM217A	MGI, PanEnsembl, HomoloGene
Fcamr	FCAMR	MGI, PanEnsembl, HomoloGene
Fbxo9	FBXO9	MGI, PanEnsembl, HomoloGene
Nrxn3	NRXN3	PanEnsembl
Ctps2	CTPS2	MGI, PanEnsembl, HomoloGene
Tceal8	TCEAL8	MGI, PanEnsembl, HomoloGene
Mta3	MTA3	MGI, PanEnsembl, HomoloGene
Chrna5	CHRNA5	MGI, PanEnsembl, HomoloGene
Grhl1	GRHL1	MGI, PanEnsembl, HomoloGene
Slc39a14	SLC39A14	MGI, PanEnsembl, HomoloGene
Cadps2	CADPS2	MGI, PanEnsembl, HomoloGene
Ofd1	OFD1	MGI, PanEnsembl, HomoloGene
Rhoa	RHOA	MGI, HomoloGene
4930544G11Rik	RHOA	PanEnsembl
Adh6a	ADH6	PanEnsembl
Ogfod1	OGFOD1	MGI, PanEnsembl, HomoloGene
Jup	JUP	MGI, PanEnsembl, HomoloGene
Zbtb9	ZBTB9	MGI, PanEnsembl, HomoloGene
Rpl15	RPL15	MGI, PanEnsembl, HomoloGene
Camk2d	CAMK2D	MGI, PanEnsembl, HomoloGene
Msantd4	MSANTD4	MGI, PanEnsembl, HomoloGene
Lrriq3	LRRIQ3	MGI, PanEnsembl, HomoloGene
Mctp2	MCTP2	MGI, PanEnsembl, HomoloGene
Arl13b	ARL13B	MGI, PanEnsembl, HomoloGene
Rdh10	RDH10	MGI, PanEnsembl, HomoloGene
Mpz	MPZ	MGI, PanEnsembl, HomoloGene
Cwf19l1	CWF19L1	MGI, PanEnsembl, HomoloGene
Gtf2ird2	GTF2IRD2B	PanEnsembl
Mndal	IFI16	MGI
BC094916	IFI16	PanEnsembl
Pydc4	IFI16	HomoloGene
Socs2	SOCS2	MGI, PanEnsembl, HomoloGene
Gm9847	SOCS2	PanEnsembl
Jakmip2	JAKMIP2	MGI, PanEnsembl, HomoloGene
Kif22	KIF22	MGI, PanEnsembl, HomoloGene
Chrng	CHRNG	MGI, PanEnsembl, HomoloGene
Gins3	GINS3	MGI, PanEnsembl, HomoloGene
Parpbp	PARPBP	MGI, PanEnsembl, HomoloGene
Qtrt2	QTRT2	MGI
Qtrtd1	QTRT2	PanEnsembl, HomoloGene
Mns1	MNS1	MGI, PanEnsembl, HomoloGene
Phf6	PHF6	MGI, PanEnsembl, HomoloGene
Ddb2	DDB2	MGI, PanEnsembl, HomoloGene
Npm3	NPM3	MGI, PanEnsembl, HomoloGene
Rgs6	RGS6	MGI, PanEnsembl, HomoloGene
Rad17	RAD17	MGI, PanEnsembl, HomoloGene
Afm	AFM	MGI, PanEnsembl, HomoloGene
Ripor2	RIPOR2	MGI
Fam65b	RIPOR2	PanEnsembl, HomoloGene
Gm5849	S100A12	PanEnsembl
Olfr447	OR2A25	MGI, PanEnsembl, HomoloGene, HORDE
Fastkd3	FASTKD3	MGI, PanEnsembl, HomoloGene
Ubr7	UBR7	MGI, PanEnsembl, HomoloGene
Acp6	ACP6	MGI, PanEnsembl, HomoloGene
Abcg2	ABCG2	MGI, PanEnsembl, HomoloGene
Abcg3	ABCG2	PanEnsembl
Defb22	DEFB126	PanEnsembl
Bhmt2	BHMT2	MGI, PanEnsembl, HomoloGene
Efhb	EFHB	MGI, PanEnsembl, HomoloGene
Nav1	NAV1	MGI, PanEnsembl, HomoloGene
Ppp4r3b	PPP4R3B	MGI
Smek2	PPP4R3B	HomoloGene
Kcnrg	KCNRG	MGI, PanEnsembl, HomoloGene
Tmem14a	TMEM14A	MGI, PanEnsembl, HomoloGene
Csf2ra	CSF2RA	MGI, PanEnsembl, HomoloGene
Miga1	MIGA1	MGI
Fam73a	MIGA1	PanEnsembl, HomoloGene
Nudcd3	NUDCD3	MGI, PanEnsembl, HomoloGene
Fezf1	FEZF1	MGI, PanEnsembl, HomoloGene
Glo1	GLO1	MGI, PanEnsembl, HomoloGene
