Vervet-AGM gene name	Gene name
	MT-TF
	MT-RNR1
	MT-TV
	MT-RNR2
	MT-TL1
ND1	MT-ND1
	MT-TI
	MT-TQ
	MT-TM
MT-ND2	MT-ND2
	MT-TW
	MT-TA
	MT-TN
	MT-TC
	MT-TY
COX1	MT-CO1
	MT-TS1
	MT-TD
COX2	MT-CO2
	MT-TK
	MT-ATP8
ATP6	MT-ATP6
COX3	MT-CO3
	MT-TG
ND3	MT-ND3
	MT-ND3
	MT-TR
ND4L	MT-ND4L
	MT-ND4L
MT-ND4	MT-ND4
	MT-TH
	MT-TS2
	MT-TL2
ND5	MT-ND5
ND6	MT-ND6
	MT-TE
CYTB	MT-CYB
	MT-TT
	MT-TP
	AC215522.3
	AC215522.3
	ABHD17AP4
	TRAV12-2
	AC068880.5
LYAR	LYAR
LYAR	LYAR
LYAR	LYAR
LYAR	LYAR
	ACTR3BP5
LRRC72	LRRC72
LRRC72	LRRC72
LRRC72	LRRC72
	KIR2DP1
	ZNF385D-AS1
	ZNF385D-AS1
	AC215522.2
	AC215522.2
	AC215522.2
	CHEK2P5
ZNF385D	ZNF385D
ZNF385D	ZNF385D
ZNF385D	ZNF385D
ZNF385D	ZNF385D
ZNF385D	ZNF385D
ZNF385D	ZNF385D
ZNF385D	ZNF385D
ZNF385D	ZNF385D
ZNF385D	ZNF385D
ZNF385D	ZNF385D
ZNF385D	ZNF385D
	AL359771.1
	TRAV8-4
	AC215522.1
	AL133173.1
	AC096719.1
	AC096719.1
	AC096719.1
	POM121L4P
	POM121L4P
	AL590623.1
	BCRP5
	AC093627.1
	AC093627.6
	KSR1P1
	AC005014.3
	AC093627.22
DPH3	DPH3
DPH3	DPH3
DPH3	DPH3
DPH3	DPH3
	LINC00692
	LINC00692
	LINC00692
SOSTDC1	SOSTDC1
SOSTDC1	SOSTDC1
	RPL23AP96
	AC215217.1
	AC215217.1
	AC093627.5
	AC093627.5
	AC093627.5
	AC093627.5
	AC093627.5
	AC093627.5
	AC093627.5
	AC093627.5
	AC093627.5
	AC093627.5
	AC093627.5
	AC093627.5
	AC093627.5
	AC093627.5
DEFA6	DEFA6
	IGKV1OR10-1
C20orf27	C20orf27
C20orf27	C20orf27
C20orf27	C20orf27
C20orf27	C20orf27
	AL031601.1
	AF233439.2
	ZNF385D-AS2
	ZNF385D-AS2
	AL713922.1
	AC093627.4
	AC093627.4
	AC093627.4
	AC093627.4
	AC093627.4
	AC093627.4
DEFA4	DEFA4
	AC093627.7
HPX	HPX
HPX	HPX
HPX	HPX
HPX	HPX
HPX	HPX
HPX	HPX
HPX	HPX
HPX	HPX
HPX	HPX
HPX	HPX
HPX	HPX
HPX	HPX
HPX	HPX
DEFB125	DEFB125
DEFB125	DEFB125
	HNF1B
	HNF1B
	HNF1B
	HNF1B
	HNF1B
	HNF1B
	HNF1B
	HMGB1P5
	HMGB1P5
	AC093627.2
	AC092421.1
	AC114477.1
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
TFIP11	TFIP11
FAM20C	FAM20C
FAM20C	FAM20C
FAM20C	FAM20C
FAM20C	FAM20C
FAM20C	FAM20C
P3H3	P3H3
P3H3	P3H3
P3H3	P3H3
P3H3	P3H3
P3H3	P3H3
P3H3	P3H3
P3H3	P3H3
P3H3	P3H3
P3H3	P3H3
P3H3	P3H3
P3H3	P3H3
	TMEM191A
	TMEM191A
	TMEM191A
	TMEM191A
	TMEM191A
	TMEM191A
	TMEM191A
	TMEM191A
	TMEM191A
	TMEM191A
	TMEM191A
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
TINF2	TINF2
	AC145676.1
	AC093627.3
	TUBB8
	TUBB8
	TUBB8
	TUBB8
	TUBB8
	TUBB8
	TUBB8
	AL031601.2
	AL031601.2
	DEFB126
	DEFB126
DEFB127	DEFB127
DEFB128	DEFB128
	IL9RP2
DEFB129	DEFB129
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
WDR19	WDR19
